dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
Disability Status,Whitefish Bay,Cumberland Elementary,2024-25,SwD,9.6,SwoD,0.4,24.0,SwD,9.6,SwoD,0.4,24.0
Disability Status,Franklin Public,Ben Franklin Elementary,2024-25,SwD,21.9,SwoD,3.7,5.92,SwD,21.9,SwoD,3.7,5.92
Disability Status,Oak Creek-Franklin Joint,Edgewood Elementary,2024-25,SwD,21.2,SwoD,3.9,5.44,SwD,21.2,SwoD,3.9,5.44
Disability Status,Whitefish Bay,Whitefish Bay High,2024-25,SwD,11.2,SwoD,2.3,4.87,SwD,11.2,SwoD,2.3,4.87
Disability Status,Whitefish Bay,Whitefish Bay Middle,2024-25,SwD,10.4,SwoD,2.2,4.73,SwD,10.4,SwoD,2.2,4.73
Disability Status,Oak Creek-Franklin Joint,Meadowview Elementary,2024-25,SwD,25.6,SwoD,5.9,4.34,SwD,25.6,SwoD,5.9,4.34
Disability Status,Wauwatosa,McKinley Elementary,2024-25,SwD,14.7,SwoD,3.4,4.32,SwD,14.7,SwoD,3.4,4.32
Disability Status,Franklin Public,Robinwood Elementary,2024-25,SwD,21.6,SwoD,5.1,4.24,SwD,21.6,SwoD,5.1,4.24
Disability Status,Maple Dale-Indian Hill,Maple Dale School,2024-25,SwD,15.2,SwoD,3.7,4.11,SwD,15.2,SwoD,3.7,4.11
Disability Status,Wauwatosa,Lincoln Elementary,2024-25,SwD,8.2,SwoD,2.0,4.1,SwD,8.2,SwoD,2.0,4.1
Disability Status,Fox Point J2,Bayside Middle,2024-25,SwD,13.6,SwoD,3.4,4.0,SwD,13.6,SwoD,3.4,4.0
Disability Status,Oak Creek-Franklin Joint,Deerfield Elementary,2024-25,SwD,15.7,SwoD,4.2,3.74,SwD,15.7,SwoD,4.2,3.74
Disability Status,Franklin Public,Southwood Glen Elementary,2024-25,SwD,16.0,SwoD,4.4,3.64,SwD,16.0,SwoD,4.4,3.64
Disability Status,Franklin Public,Forest Park Middle,2024-25,SwD,25.6,SwoD,7.3,3.51,SwD,25.6,SwoD,7.3,3.51
Disability Status,Greendale,College Park Elementary,2024-25,SwD,6.1,SwoD,1.8,3.39,SwD,6.1,SwoD,1.8,3.39
Disability Status,Shorewood,Shorewood Intermediate,2024-25,SwD,14.3,SwoD,4.3,3.33,SwD,14.3,SwoD,4.3,3.33
Disability Status,Milwaukee,Fernwood Montessori,2024-25,SwD,21.6,SwoD,6.7,3.22,SwD,21.6,SwoD,6.7,3.22
Disability Status,Wauwatosa,Wilson Elementary,2024-25,SwD,16.3,SwoD,5.1,3.2,SwD,16.3,SwoD,5.1,3.2
Disability Status,Downtown Montessori Academy,Downtown Montessori,2024-25,SwD,18.5,SwoD,6.4,2.89,SwD,18.5,SwoD,6.4,2.89
Disability Status,Oak Creek-Franklin Joint,Oak Creek East Middle,2024-25,SwD,27.7,SwoD,9.6,2.89,SwD,27.7,SwoD,9.6,2.89
Disability Status,Milwaukee,Bay View Montessori School,2024-25,SwD,7.0,SwoD,2.5,2.8,SwD,7.0,SwoD,2.5,2.8
Disability Status,Cudahy,Jones Elementary,2024-25,SwD,29.0,SwoD,10.5,2.76,SwD,29.0,SwoD,10.5,2.76
Disability Status,Shorewood,Lake Bluff Elementary,2024-25,SwD,10.9,SwoD,4.0,2.73,SwD,10.9,SwoD,4.0,2.73
Disability Status,Saint Francis,Willow Glen Primary School,2024-25,SwD,40.5,SwoD,15.0,2.7,SwD,40.5,SwoD,15.0,2.7
Disability Status,Wauwatosa,Roosevelt Elementary,2024-25,SwD,21.9,SwoD,8.3,2.64,SwD,21.9,SwoD,8.3,2.64
Disability Status,Milwaukee,Highland Community School,2024-25,SwD,28.4,SwoD,10.8,2.63,SwD,28.4,SwoD,10.8,2.63
Disability Status,Franklin Public,Pleasant View Elementary,2024-25,SwD,20.9,SwoD,8.0,2.61,SwD,20.9,SwoD,8.0,2.61
Disability Status,Milwaukee,Whittier Elementary,2024-25,SwD,18.5,SwoD,7.2,2.57,SwD,18.5,SwoD,7.2,2.57
Disability Status,Wauwatosa,Eisenhower Elementary,2024-25,SwD,29.5,SwoD,11.9,2.48,SwD,29.5,SwoD,11.9,2.48
Disability Status,West Allis-West Milwaukee,Franklin Elementary,2024-25,SwD,17.8,SwoD,7.6,2.34,SwD,17.8,SwoD,7.6,2.34
Disability Status,Wauwatosa,East High,2024-25,SwD,36.7,SwoD,15.9,2.31,SwD,36.7,SwoD,15.9,2.31
Disability Status,Wauwatosa,Whitman Middle,2024-25,SwD,27.8,SwoD,12.1,2.3,SwD,27.8,SwoD,12.1,2.3
Disability Status,Whitnall,Edgerton Elementary,2024-25,SwD,5.9,SwoD,2.6,2.27,SwD,5.9,SwoD,2.6,2.27
Disability Status,Oak Creek-Franklin Joint,Cedar Hills Elementary,2024-25,SwD,14.3,SwoD,6.4,2.23,SwD,14.3,SwoD,6.4,2.23
Disability Status,Whitnall,Whitnall High,2024-25,SwD,24.8,SwoD,11.3,2.19,SwD,24.8,SwoD,11.3,2.19
Disability Status,Franklin Public,Franklin High,2024-25,SwD,13.9,SwoD,6.4,2.17,SwD,13.9,SwoD,6.4,2.17
Disability Status,Glendale-River Hills,Parkway Elementary,2024-25,SwD,13.2,SwoD,6.2,2.13,SwD,13.2,SwoD,6.2,2.13
Disability Status,Oak Creek-Franklin Joint,Forest Ridge Elementary,2024-25,SwD,31.6,SwoD,15.2,2.08,SwD,31.6,SwoD,15.2,2.08
Disability Status,Whitnall,Whitnall Middle,2024-25,SwD,16.4,SwoD,7.9,2.08,SwD,16.4,SwoD,7.9,2.08
Disability Status,Milwaukee,Reagan College Preparatory High,2024-25,SwD,35.1,SwoD,17.4,2.02,SwD,35.1,SwoD,17.4,2.02
Disability Status,Milwaukee,Maryland Montessori,2024-25,SwD,8.6,SwoD,4.3,2.0,SwD,8.6,SwoD,4.3,2.0
Disability Status,Milwaukee,Fairview Elementary,2024-25,SwD,37.3,SwoD,18.7,1.99,SwD,37.3,SwoD,18.7,1.99
Disability Status,Wauwatosa,Longfellow Middle,2024-25,SwD,15.0,SwoD,7.7,1.95,SwD,15.0,SwoD,7.7,1.95
Disability Status,Oak Creek-Franklin Joint,Oak Creek High,2024-25,SwD,37.0,SwoD,19.1,1.94,SwD,37.0,SwoD,19.1,1.94
Disability Status,Milwaukee,Milwaukee French Immersion,2024-25,SwD,30.2,SwoD,16.0,1.89,SwD,30.2,SwoD,16.0,1.89
Disability Status,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,2024-25,SwD,8.1,SwoD,4.3,1.88,SwD,8.1,SwoD,4.3,1.88
Disability Status,Greenfield,Elm Dale Elementary,2024-25,SwD,13.0,SwoD,7.0,1.86,SwD,13.0,SwoD,7.0,1.86
Disability Status,Milwaukee,Trowbridge Street School of Great Lakes Studies,2024-25,SwD,53.8,SwoD,29.3,1.84,SwD,53.8,SwoD,29.3,1.84
Disability Status,Nicolet Union High School,Nicolet High,2024-25,SwD,4.7,SwoD,2.6,1.81,SwD,4.7,SwoD,2.6,1.81
Disability Status,Greendale,Greendale Middle,2024-25,SwD,7.2,SwoD,4.0,1.8,SwD,7.2,SwoD,4.0,1.8
Disability Status,Greenfield,Glenwood Elementary,2024-25,SwD,12.5,SwoD,7.0,1.79,SwD,12.5,SwoD,7.0,1.79
Disability Status,Milwaukee,Gaenslen Elementary,2024-25,SwD,44.3,SwoD,24.7,1.79,SwD,44.3,SwoD,24.7,1.79
Disability Status,Milwaukee,Academy of Accelerated Learning,2024-25,SwD,22.9,SwoD,12.9,1.78,SwD,22.9,SwoD,12.9,1.78
Disability Status,Milwaukee,Golda Meir School,2024-25,SwD,25.4,SwoD,14.3,1.78,SwD,25.4,SwoD,14.3,1.78
