metric,dimension,group,district,school,year,value,count,status_flag
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2018-19,22.8,101.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2018-19,11.8,627.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2019-20,15.8,76.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2019-20,11.5,523.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2020-21,16.7,60.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2020-21,8.4,514.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2021-22,57.3,82.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2021-22,39.6,545.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2022-23,31.4,86.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2022-23,22.4,549.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2023-24,26.0,96.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2023-24,19.0,531.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2024-25,29.0,100.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2024-25,21.1,540.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2018-19,54.9,122.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2018-19,26.9,594.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2019-20,41.5,118.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2019-20,21.5,720.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2020-21,42.9,112.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2020-21,26.7,735.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2021-22,68.4,114.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2021-22,51.1,786.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2022-23,56.6,106.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2022-23,42.2,801.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2023-24,48.5,103.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2023-24,39.6,810.0,
chronic_absenteeism,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2024-25,43.7,103.0,
chronic_absenteeism,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2024-25,35.5,802.0,
chronic_absenteeism,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2018-19,11.1,63.0,
chronic_absenteeism,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2018-19,5.8,1097.0,
chronic_absenteeism,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2019-20,13.5,74.0,
chronic_absenteeism,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2019-20,5.2,1150.0,
chronic_absenteeism,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2020-21,30.6,85.0,
chronic_absenteeism,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2020-21,16.0,1127.0,
chronic_absenteeism,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2021-22,55.9,93.0,
chronic_absenteeism,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2021-22,40.4,1148.0,
chronic_absenteeism,Disability Status,SwD,Capitol West Academy,Capitol West Academy,2018-19,36.8,38.0,
chronic_absenteeism,Disability Status,SwoD,Capitol West Academy,Capitol West Academy,2018-19,36.1,208.0,
chronic_absenteeism,Disability Status,SwD,Capitol West Academy,Capitol West Academy,2019-20,26.7,30.0,
chronic_absenteeism,Disability Status,SwoD,Capitol West Academy,Capitol West Academy,2019-20,32.0,178.0,
chronic_absenteeism,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,,9.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,47.0,168.0,
chronic_absenteeism,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,70.0,30.0,
chronic_absenteeism,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,45.5,176.0,
chronic_absenteeism,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,48.8,41.0,
chronic_absenteeism,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,38.4,151.0,
chronic_absenteeism,Disability Status,SwD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,53.2,47.0,
