metric,district,school,group,year,value,yoy_change,pct_change,status_flag
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2018-19,13.3,,,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2019-20,12.0,-1.3,-9.8,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2020-21,9.2,-2.8,-23.3,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2021-22,41.9,32.7,355.4,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2022-23,23.6,-18.3,-43.7,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2023-24,20.1,-3.5,-14.8,
chronic_absenteeism,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2024-25,22.3,2.2,10.9,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2018-19,31.7,,,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2019-20,24.3,-7.4,-23.3,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2020-21,28.8,4.5,18.5,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2021-22,53.4,24.6,85.4,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2022-23,43.9,-9.5,-17.8,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2023-24,40.6,-3.3,-7.5,
chronic_absenteeism,Brown Deer,Brown Deer Middle/High,Brown Deer Middle/High — All Students,2024-25,36.5,-4.1,-10.1,
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,6.1,,,
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,5.7,-0.4,-6.6,
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,17.0,11.3,198.2,
chronic_absenteeism,Bruce Guadalupe,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,41.6,24.6,144.7,
chronic_absenteeism,Capitol West Academy,Capitol West Academy,Capitol West Academy — All Students,2018-19,36.2,,,
chronic_absenteeism,Capitol West Academy,Capitol West Academy,Capitol West Academy — All Students,2019-20,31.3,-4.9,-13.5,
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2022-23,45.8,,,
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2023-24,49.0,3.2,7.0,
chronic_absenteeism,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2024-25,40.6,-8.4,-17.1,
