metric,subject,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,focus_n,reference_n,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
act,ela,Disability Status,West Allis-West Milwaukee,Nathan Hale High,2024-25,SwoD,53.5156,SwD,3.2258,16.59,250.0,25.0,SwoD,53.5156,SwD,3.2258,16.59
act,ela,Disability Status,Wauwatosa,West High,2024-25,SwoD,55.5066,SwD,6.4516,8.6,223.0,28.0,SwoD,55.5066,SwD,6.4516,8.6
act,ela,Disability Status,Seeds of Health,Tenor High,2024-25,SwoD,32.1739,SwD,4.5455,7.08,115.0,21.0,SwoD,32.1739,SwD,4.5455,7.08
act,ela,Disability Status,Oak Creek-Franklin Joint,Oak Creek High,2024-25,SwoD,47.2549,SwD,7.1429,6.62,494.0,37.0,SwoD,47.2549,SwD,7.1429,6.62
act,ela,Disability Status,Wauwatosa,East High,2024-25,SwoD,70.8155,SwD,11.5385,6.14,226.0,23.0,SwoD,70.8155,SwD,11.5385,6.14
act,ela,Disability Status,Milwaukee,Reagan College Preparatory High,2024-25,SwoD,75.2508,SwD,13.1579,5.72,296.0,34.0,SwoD,75.2508,SwD,13.1579,5.72
act,ela,Disability Status,Milwaukee,King International,2024-25,SwoD,39.1459,SwD,7.6923,5.09,252.0,22.0,SwoD,39.1459,SwD,7.6923,5.09
act,ela,Disability Status,Nicolet Union High School,Nicolet High,2024-25,SwoD,66.6667,SwD,17.8571,3.73,217.0,23.0,SwoD,66.6667,SwD,17.8571,3.73
act,ela,Disability Status,Milwaukee,Hamilton High,2024-25,SwoD,8.7558,SwD,2.381,3.68,180.0,31.0,SwoD,8.7558,SwD,2.381,3.68
act,ela,Disability Status,Greendale,Greendale High,2024-25,SwoD,68.5864,SwD,19.2308,3.57,191.0,24.0,SwoD,68.5864,SwD,19.2308,3.57
act,ela,Disability Status,Milwaukee,Bay View High,2024-25,SwoD,11.1888,SwD,4.878,2.29,137.0,39.0,SwoD,11.1888,SwD,4.878,2.29
act,ela,Disability Status,Milwaukee,Milwaukee High School of the Arts,2024-25,SwoD,25.4808,SwD,12.5,2.04,202.0,32.0,SwoD,25.4808,SwD,12.5,2.04
act,ela,Disability Status,Whitefish Bay,Whitefish Bay High,2024-25,SwoD,91.0377,SwD,47.619,1.91,210.0,20.0,SwoD,91.0377,SwD,47.619,1.91
act,ela,Disability Status,Milwaukee,Audubon Technology and Communication High,2024-25,SwoD,28.0702,SwD,18.1818,1.54,54.0,22.0,SwoD,28.0702,SwD,18.1818,1.54
act,ela,Disability Status,Milwaukee,Bradley Technology High,2024-25,SwoD,9.1398,SwD,0.0,,174.0,20.0,SwoD,9.1398,SwD,0.0,
act,ela,Disability Status,Milwaukee,Pulaski High,2024-25,SwoD,8.2759,SwD,0.0,,114.0,23.0,SwoD,8.2759,SwD,0.0,
act,ela,Disability Status,Milwaukee,Riverside High,2024-25,SwoD,16.1111,SwD,0.0,,155.0,21.0,SwoD,16.1111,SwD,0.0,
act,ela,Disability Status,South Milwaukee,South Milwaukee High,2024-25,SwoD,22.5,SwD,0.0,,198.0,36.0,SwoD,22.5,SwD,0.0,
act,ela,Disability Status,West Allis-West Milwaukee,Central High,2024-25,SwoD,31.5,SwD,0.0,,193.0,24.0,SwoD,31.5,SwD,0.0,
act,ela,EL Status,Oak Creek-Franklin Joint,Oak Creek High,2024-25,Eng Prof,46.6411,EL,3.2258,14.46,502.0,29.0,Eng Prof,46.6411,EL,3.2258,14.46
act,ela,EL Status,Milwaukee,King International,2024-25,Eng Prof,40.0722,EL,3.3333,12.02,251.0,23.0,Eng Prof,40.0722,EL,3.3333,12.02
act,ela,EL Status,Milwaukee,Hamilton High,2024-25,Eng Prof,11.1765,EL,1.1236,9.95,135.0,76.0,Eng Prof,11.1765,EL,1.1236,9.95
act,ela,EL Status,Milwaukee,Riverside High,2024-25,Eng Prof,17.1779,EL,2.3256,7.39,139.0,37.0,Eng Prof,17.1779,EL,2.3256,7.39
act,ela,EL Status,Milwaukee,Reagan College Preparatory High,2024-25,Eng Prof,75.1678,EL,15.3846,4.89,291.0,39.0,Eng Prof,75.1678,EL,15.3846,4.89
act,ela,EL Status,Milwaukee,Milwaukee High School of the Arts,2024-25,Eng Prof,27.2727,EL,7.1429,3.82,194.0,40.0,Eng Prof,27.2727,EL,7.1429,3.82
act,ela,EL Status,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2024-25,Eng Prof,64.9123,EL,25.9259,2.5,114.0,27.0,Eng Prof,64.9123,EL,25.9259,2.5
act,ela,EL Status,Seeds of Health,Tenor High,2024-25,Eng Prof,31.7757,EL,13.3333,2.38,107.0,29.0,Eng Prof,31.7757,EL,13.3333,2.38
act,ela,EL Status,Milwaukee,Carmen High School of Science and Technology Southeast Campus,2024-25,Eng Prof,24.6753,EL,12.8205,1.92,75.0,74.0,Eng Prof,24.6753,EL,12.8205,1.92
act,ela,EL Status,Milwaukee,Carmen High School of Science and Technology South Campus,2024-25,Eng Prof,41.8605,EL,23.5294,1.78,43.0,50.0,Eng Prof,41.8605,EL,23.5294,1.78
act,ela,EL Status,Milwaukee,Pulaski High,2024-25,Eng Prof,8.2474,EL,4.878,1.69,77.0,60.0,Eng Prof,8.2474,EL,4.878,1.69
act,ela,EL Status,Milwaukee,Bay View High,2024-25,Eng Prof,12.1622,EL,0.0,,142.0,34.0,Eng Prof,12.1622,EL,0.0,
act,ela,EL Status,Milwaukee,Bradley Technology High,2024-25,Eng Prof,9.3407,EL,0.0,,167.0,27.0,Eng Prof,9.3407,EL,0.0,
act,ela,EL Status,Milwaukee,South Division High,2024-25,Eng Prof,14.9254,EL,0.0,,49.0,84.0,Eng Prof,14.9254,EL,0.0,
act,ela,EL Status,South Milwaukee,South Milwaukee High,2024-25,Eng Prof,20.6422,EL,0.0,,213.0,21.0,Eng Prof,20.6422,EL,0.0,
act,ela,Economic Status,South Milwaukee,South Milwaukee High,2024-25,Not Econ Disadv,29.0598,Econ Disadv,8.9431,3.25,116.0,118.0,Not Econ Disadv,29.0598,Econ Disadv,8.9431,3.25
act,ela,Economic Status,Wauwatosa,West High,2024-25,Not Econ Disadv,62.3596,Econ Disadv,21.25,2.93,175.0,76.0,Not Econ Disadv,62.3596,Econ Disadv,21.25,2.93
act,ela,Economic Status,Whitnall,Whitnall High,2024-25,Not Econ Disadv,70.2128,Econ Disadv,31.3725,2.24,133.0,43.0,Not Econ Disadv,70.2128,Econ Disadv,31.3725,2.24
act,ela,Economic Status,Milwaukee,Milwaukee High School of the Arts,2024-25,Not Econ Disadv,39.3443,Econ Disadv,18.4358,2.13,58.0,176.0,Not Econ Disadv,39.3443,Econ Disadv,18.4358,2.13
act,ela,Economic Status,Milwaukee,MacDowell Montessori School K3-12,2024-25,Not Econ Disadv,36.3636,Econ Disadv,18.75,1.94,22.0,31.0,Not Econ Disadv,36.3636,Econ Disadv,18.75,1.94
act,ela,Economic Status,West Allis-West Milwaukee,Central High,2024-25,Not Econ Disadv,42.3729,Econ Disadv,22.2222,1.91,56.0,161.0,Not Econ Disadv,42.3729,Econ Disadv,22.2222,1.91
act,ela,Economic Status,Milwaukee,King International,2024-25,Not Econ Disadv,52.2523,Econ Disadv,27.551,1.9,102.0,172.0,Not Econ Disadv,52.2523,Econ Disadv,27.551,1.9
act,ela,Economic Status,Milwaukee,Riverside High,2024-25,Not Econ Disadv,21.5686,Econ Disadv,11.6129,1.86,47.0,129.0,Not Econ Disadv,21.5686,Econ Disadv,11.6129,1.86
act,ela,Economic Status,Nicolet Union High School,Nicolet High,2024-25,Not Econ Disadv,67.0,Econ Disadv,38.0,1.76,193.0,47.0,Not Econ Disadv,67.0,Econ Disadv,38.0,1.76
act,ela,Economic Status,Wauwatosa,East High,2024-25,Not Econ Disadv,70.8738,Econ Disadv,41.5094,1.71,199.0,50.0,Not Econ Disadv,70.8738,Econ Disadv,41.5094,1.71
act,ela,Economic Status,West Allis-West Milwaukee,Nathan Hale High,2024-25,Not Econ Disadv,63.1148,Econ Disadv,36.9697,1.71,121.0,154.0,Not Econ Disadv,63.1148,Econ Disadv,36.9697,1.71
act,ela,Economic Status,Saint Francis,Saint Francis High,2024-25,Not Econ Disadv,29.0323,Econ Disadv,17.5439,1.65,61.0,57.0,Not Econ Disadv,29.0323,Econ Disadv,17.5439,1.65
act,ela,Economic Status,Franklin Public,Franklin High,2024-25,Not Econ Disadv,67.6667,Econ Disadv,41.9753,1.61,297.0,81.0,Not Econ Disadv,67.6667,Econ Disadv,41.9753,1.61
act,ela,Economic Status,Oak Creek-Franklin Joint,Oak Creek High,2024-25,Not Econ Disadv,49.4949,Econ Disadv,30.7692,1.61,385.0,146.0,Not Econ Disadv,49.4949,Econ Disadv,30.7692,1.61
act,ela,Economic Status,Greenfield,Greenfield High,2024-25,Not Econ Disadv,47.4453,Econ Disadv,30.0699,1.58,131.0,132.0,Not Econ Disadv,47.4453,Econ Disadv,30.0699,1.58
act,ela,Economic Status,Milwaukee,Milwaukee School of Languages,2024-25,Not Econ Disadv,48.0769,Econ Disadv,31.3725,1.53,51.0,46.0,Not Econ Disadv,48.0769,Econ Disadv,31.3725,1.53
act,ela,Economic Status,Greendale,Greendale High,2024-25,Not Econ Disadv,69.7368,Econ Disadv,46.1538,1.51,151.0,64.0,Not Econ Disadv,69.7368,Econ Disadv,46.1538,1.51
act,ela,Economic Status,Seeds of Health,Tenor High,2024-25,Not Econ Disadv,37.5,Econ Disadv,24.7619,1.51,31.0,105.0,Not Econ Disadv,37.5,Econ Disadv,24.7619,1.51
act,ela,Economic Status,Brown Deer,Brown Deer Middle/High,2024-25,Not Econ Disadv,42.5926,Econ Disadv,28.5714,1.49,53.0,60.0,Not Econ Disadv,42.5926,Econ Disadv,28.5714,1.49
act,ela,Economic Status,Milwaukee,Golda Meir School,2024-25,Not Econ Disadv,76.6234,Econ Disadv,51.7241,1.48,75.0,57.0,Not Econ Disadv,76.6234,Econ Disadv,51.7241,1.48
act,ela,Economic Status,Milwaukee,Bay View High,2024-25,Not Econ Disadv,13.6364,Econ Disadv,9.2593,1.47,21.0,155.0,Not Econ Disadv,13.6364,Econ Disadv,9.2593,1.47
act,ela,Economic Status,Shorewood,Shorewood High,2024-25,Not Econ Disadv,74.7899,Econ Disadv,52.381,1.43,118.0,20.0,Not Econ Disadv,74.7899,Econ Disadv,52.381,1.43
act,ela,Economic Status,Seeds of Health,Veritas High,2024-25,Not Econ Disadv,43.4783,Econ Disadv,31.25,1.39,23.0,48.0,Not Econ Disadv,43.4783,Econ Disadv,31.25,1.39
act,ela,Economic Status,Cudahy,Cudahy High,2024-25,Not Econ Disadv,46.9697,Econ Disadv,34.2342,1.37,63.0,103.0,Not Econ Disadv,46.9697,Econ Disadv,34.2342,1.37
act,ela,Economic Status,Milwaukee,Reagan College Preparatory High,2024-25,Not Econ Disadv,74.5562,Econ Disadv,61.9048,1.2,166.0,164.0,Not Econ Disadv,74.5562,Econ Disadv,61.9048,1.2
act,ela,Economic Status,Milwaukee,Hamilton High,2024-25,Econ Disadv,7.8431,Not Econ Disadv,7.2727,1.08,166.0,45.0,Econ Disadv,7.8431,Not Econ Disadv,7.2727,1.08
act,ela,Economic Status,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2024-25,Econ Disadv,57.5,Not Econ Disadv,57.1429,1.01,120.0,21.0,Econ Disadv,57.5,Not Econ Disadv,57.1429,1.01
act,ela,Economic Status,Milwaukee,Pulaski High,2024-25,Econ Disadv,8.6957,Not Econ Disadv,0.0,,107.0,30.0,Econ Disadv,8.6957,Not Econ Disadv,0.0,
act,ela,Gender,Milwaukee,Bradley Technology High,2024-25,Male,12.3894,Female,3.0928,4.01,107.0,87.0,Male,12.3894,Female,3.0928,4.01
act,ela,Gender,Milwaukee,Pulaski High,2024-25,Female,11.2676,Male,3.7037,3.04,60.0,77.0,Female,11.2676,Male,3.7037,3.04
act,ela,Gender,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2024-25,Male,5.4054,Female,1.9231,2.81,33.0,51.0,Male,5.4054,Female,1.9231,2.81
act,ela,Gender,Milwaukee,Milwaukee High School of the Arts,2024-25,Female,30.8725,Male,12.0879,2.55,146.0,88.0,Female,30.8725,Male,12.0879,2.55
