metric,dimension,group,subject,unit,district,school,year,value,pct_below,pct_notest,avg_score,gap_reason,tested,population,status_flag
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,Riverside High,2019-20,0.0,0.0,13.0435,15.2,,280.0,322.0,
act,Race/Ethnicity,Hispanic,reading,pct,Milwaukee,Alliance School of Milwaukee,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,2019-20,0.0,0.0,21.6216,16.0,,29.0,37.0,
act,Race/Ethnicity,Black,reading,pct,Milwaukee,Alliance School of Milwaukee,2019-20,0.0,0.0,57.8947,16.2,,8.0,19.0,
act,Economic Status,Econ Disadv,reading,pct,Cudahy,Cudahy High,2019-20,0.0,0.0,4.717,16.4,,101.0,106.0,
act,Economic Status,Not Econ Disadv,reading,pct,Cudahy,Cudahy High,2019-20,0.0,0.0,6.5789,18.8,,71.0,76.0,
act,Race/Ethnicity,Asian,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,0.0,25.5,,17.0,17.0,
act,All Students,All Students,reading,pct,Wauwatosa,East High,2019-20,0.0,0.0,6.962,22.9,,294.0,316.0,
act,Race/Ethnicity,Black,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,5.2632,19.5,,18.0,19.0,
act,Race/Ethnicity,Hispanic,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,0.0,26.8,,12.0,12.0,
act,Economic Status,Not Econ Disadv,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,0.0,0.0,50.0,14.6,,7.0,14.0,
act,All Students,[Data Suppressed],reading,pct,Wauwatosa,Vel R Phillips School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Two or More,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,5.8824,24.9,,16.0,17.0,
act,Economic Status,Econ Disadv,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,0.0,0.0,14.2857,14.6,,24.0,28.0,
act,Race/Ethnicity,White,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,5.0251,26.7,,189.0,199.0,
act,All Students,All Students,reading,pct,Wauwatosa,Wauwatosa Virtual Academy,2019-20,0.0,0.0,39.1304,21.3,,14.0,23.0,
act,Economic Status,Not Econ Disadv,reading,pct,Milwaukee,Carmen High School of Science and Technology Southeast Campus,2019-20,0.0,0.0,6.25,16.5,,15.0,16.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,MacDowell Montessori School K3-12,2019-20,0.0,0.0,10.4167,14.1,,43.0,48.0,
act,Migrant Status,Not Migrant,reading,pct,Nicolet Union High School,Nicolet High,2019-20,0.0,0.0,10.3448,23.4,,234.0,261.0,
act,Race/Ethnicity,Amer Indian,reading,pct,Greendale,Greendale High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Wauwatosa,West High,2019-20,0.0,0.0,6.0345,19.9,,218.0,232.0,
act,Disability Status,SwD,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,25.5319,13.1,,35.0,47.0,
