metric,subject,unit,district,school,group,year,value,pct_below,pct_notest,avg_score,yoy_change,pct_change,status_flag,gap_reason,tested,population
act,reading,pct,Wauwatosa,East High,All Students,2019-20,0.0,0.0,6.962,22.9,,,,,294.0,316.0
act,reading,pct,Wauwatosa,Vel R Phillips School,[Data Suppressed],2019-20,,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
act,reading,pct,Wauwatosa,Wauwatosa Virtual Academy,All Students,2019-20,0.0,0.0,39.1304,21.3,,,,,14.0,23.0
act,reading,pct,Wauwatosa,West High,All Students,2019-20,0.0,0.0,6.0345,19.9,,,,,218.0,232.0
act,reading,pct,Seeds of Health,Tenor High,All Students,2019-20,0.0,0.0,2.1277,19.0,,,,,46.0,47.0
act,reading,pct,Seeds of Health,Veritas High,All Students,2019-20,0.0,0.0,0.0,18.3,,,,,68.0,68.0
act,reading,pct,Shorewood,New Horizons for Learning,[Data Suppressed],2019-20,,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
act,reading,pct,Shorewood,Shorewood High,All Students,2019-20,0.0,0.0,3.3557,24.8,,,,,144.0,149.0
act,reading,pct,South Milwaukee,South Milwaukee High,All Students,2019-20,0.0,0.0,11.8321,19.2,,,,,231.0,262.0
act,reading,pct,West Allis-West Milwaukee,Central High,All Students,2019-20,0.0,0.0,7.2398,17.9,,,,,205.0,221.0
act,reading,pct,Whitnall,Whitnall High,All Students,2019-20,0.0,0.0,6.8293,21.2,,,,,191.0,205.0
act,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,All Students,2019-20,0.0,0.0,26.1905,14.6,,,,,31.0,42.0
act,reading,pct,West Allis-West Milwaukee,Nathan Hale High,All Students,2019-20,0.0,0.0,6.4103,19.5,,,,,292.0,312.0
act,reading,pct,Whitefish Bay,Whitefish Bay High,All Students,2019-20,0.0,0.0,4.5455,26.0,,,,,252.0,264.0
act,reading,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,All Students,2019-20,0.0,0.0,71.2121,14.6,,,,,19.0,66.0
act,reading,pct,Milwaukee,Pulaski High,All Students,2019-20,0.0,0.0,29.3413,13.1,,,,,118.0,167.0
act,reading,pct,Milwaukee,Reagan College Preparatory High,All Students,2019-20,0.0,0.0,2.7397,21.3,,,,,355.0,365.0
act,reading,pct,Milwaukee,Riverside High,All Students,2019-20,0.0,0.0,13.0435,15.2,,,,,280.0,322.0
act,reading,pct,Milwaukee,Shalom High,All Students,2019-20,0.0,0.0,31.8182,12.9,,,,,15.0,22.0
act,reading,pct,Milwaukee,Milwaukee High School of the Arts,All Students,2019-20,0.0,0.0,35.8382,17.7,,,,,111.0,173.0
act,reading,pct,Milwaukee,Milwaukee School of Languages,All Students,2019-20,0.0,0.0,12.3288,17.5,,,,,128.0,146.0
act,reading,pct,Milwaukee,NOVA-Northwest Opportunities Vocational Academy,All Students,2019-20,0.0,0.0,27.2727,10.9,,,,,16.0,22.0
act,reading,pct,Milwaukee,North Division High,All Students,2019-20,0.0,0.0,48.6486,13.9,,,,,19.0,37.0
act,reading,pct,Milwaukee,Obama School of Career and Technical Education,All Students,2019-20,0.0,0.0,29.5775,13.3,,,,,50.0,71.0
act,reading,pct,Saint Francis,Saint Francis High,All Students,2019-20,0.0,0.0,3.5398,17.0,,,,,109.0,113.0
act,reading,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,All Students,2019-20,0.0,0.0,21.6216,16.0,,,,,29.0,37.0
act,reading,pct,Nicolet Union High School,Nicolet High,All Students,2019-20,0.0,0.0,10.3448,23.4,,,,,234.0,261.0
act,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,All Students,2019-20,0.0,0.0,5.4688,19.4,,,,,484.0,512.0
act,reading,pct,Pathways High,Pathways High,All Students,2019-20,0.0,0.0,0.0,17.3,,,,,35.0,35.0
