metric,group,year,value,pct_change
enrollment,Central City Cyberschool — All Students,2019-20,948.0,15.0
enrollment,Downtown Montessori — All Students,2021-22,482.0,-17.5
enrollment,Milwaukee Math and Science Academy — All Students,2019-20,444.0,-24.5
enrollment,Milwaukee Science Education Consortium Inc — All Students,2024-25,3422.0,21.9
enrollment,Rocketship Education Wisconsin Inc — All Students,2019-20,1338.0,17.0
enrollment,Rocketship Education Wisconsin Inc — All Students,2024-25,1462.0,16.2
enrollment,Seeds of Health Inc — All Students,2020-21,2294.0,25.8
enrollment,Stellar Collegiate Charter School — All Students,2019-20,380.0,28.4
enrollment,Stellar Collegiate Charter School — All Students,2020-21,478.0,25.8
enrollment,United Community Center Acosta Middle — All Students,2020-21,422.0,18.5
enrollment,Woodlands School - State Street Campus — All Students,2020-21,546.0,-20.9
chronic_absenteeism,Brown Deer — All Students,2019-20,18.5,-17.7
chronic_absenteeism,Brown Deer — All Students,2021-22,41.7,112.4
chronic_absenteeism,Brown Deer — All Students,2022-23,34.333333333333336,-17.7
chronic_absenteeism,Bruce Guadalupe — All Students,2020-21,17.15,185.8
chronic_absenteeism,Bruce Guadalupe — All Students,2021-22,42.3,146.6
chronic_absenteeism,Central City Cyberschool — All Students,2019-20,27.2,16.7
chronic_absenteeism,Central City Cyberschool — All Students,2020-21,47.5,74.6
chronic_absenteeism,Central City Cyberschool — All Students,2021-22,59.8,25.9
chronic_absenteeism,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,34.0,-25.8
chronic_absenteeism,Cudahy — All Students,2021-22,33.6625,37.8
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2020-21,36.8,65.0
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2021-22,48.8,32.6
chronic_absenteeism,Downtown Montessori — All Students,2019-20,2.4,inf
chronic_absenteeism,Downtown Montessori — All Students,2020-21,1.6,-33.3
chronic_absenteeism,Downtown Montessori — All Students,2021-22,18.3,1043.8
chronic_absenteeism,Downtown Montessori Academy Inc — All Students,2024-25,8.2,-16.3
chronic_absenteeism,Dr Howard Fuller Collegiate Academy — All Students,2020-21,16.5,-39.3
chronic_absenteeism,Dr Howard Fuller Collegiate Academy — All Students,2021-22,3.5,-78.8
chronic_absenteeism,Fox Point J2 — All Students,2019-20,5.566666666666666,15.2
chronic_absenteeism,Fox Point J2 — All Students,2020-21,0.9333333333333332,-83.2
chronic_absenteeism,Fox Point J2 — All Students,2021-22,4.366666666666666,367.9
chronic_absenteeism,Fox Point J2 — All Students,2022-23,7.533333333333334,72.5
chronic_absenteeism,Fox Point J2 — All Students,2023-24,6.3999999999999995,-15.0
chronic_absenteeism,Fox Point J2 — All Students,2024-25,4.6000000000000005,-28.1
chronic_absenteeism,Franklin Public — All Students,2024-25,13.855555555555556,-25.2
chronic_absenteeism,Glendale-River Hills — All Students,2020-21,2.7999999999999994,-60.6
chronic_absenteeism,Glendale-River Hills — All Students,2021-22,10.466666666666667,273.8
chronic_absenteeism,Glendale-River Hills — All Students,2022-23,13.5,29.0
chronic_absenteeism,Glendale-River Hills — All Students,2024-25,8.799999999999999,-34.3
chronic_absenteeism,Greendale — All Students,2019-20,5.316666666666666,28.1
chronic_absenteeism,Greendale — All Students,2020-21,47.300000000000004,789.7
chronic_absenteeism,Greendale — All Students,2021-22,5.616666666666666,-88.1
chronic_absenteeism,Greendale — All Students,2022-23,6.966666666666666,24.0
chronic_absenteeism,Greendale — All Students,2023-24,5.883333333333333,-15.6
chronic_absenteeism,Greenfield — All Students,2019-20,4.042857142857143,-50.9
chronic_absenteeism,Greenfield — All Students,2020-21,10.742857142857144,165.7
chronic_absenteeism,Greenfield — All Students,2021-22,16.442857142857143,53.1
chronic_absenteeism,Greenfield — All Students,2023-24,11.671428571428573,-17.6
chronic_absenteeism,Maple Dale-Indian Hill — All Students,2020-21,1.4000000000000001,-78.6
chronic_absenteeism,Maple Dale-Indian Hill — All Students,2021-22,10.766666666666666,669.0
chronic_absenteeism,Maple Dale-Indian Hill — All Students,2022-23,7.366666666666667,-31.6
chronic_absenteeism,Maple Dale-Indian Hill — All Students,2024-25,3.866666666666667,-41.7
chronic_absenteeism,Milwaukee — All Students,2020-21,41.93481012658228,16.1
chronic_absenteeism,Milwaukee — All Students,2021-22,61.43141025641025,46.5
chronic_absenteeism,Milwaukee Academy of Science — All Students,2020-21,42.3,41.0
chronic_absenteeism,Milwaukee Academy of Science — All Students,2021-22,54.6,29.1
chronic_absenteeism,Milwaukee Math and Science Academy — All Students,2020-21,57.8,92.0
chronic_absenteeism,Milwaukee Scholars Charter School — All Students,2020-21,36.2,17.5
chronic_absenteeism,Milwaukee Scholars Charter School — All Students,2021-22,59.2,63.5
chronic_absenteeism,Nicolet UHS — All Students,2019-20,4.8,-41.5
chronic_absenteeism,Nicolet Union High School — All Students,2022-23,8.1,42.1
chronic_absenteeism,Nicolet Union High School — All Students,2023-24,3.0,-63.0
chronic_absenteeism,Oak Creek-Franklin Joint — All Students,2019-20,8.963636363636363,27.4
chronic_absenteeism,Oak Creek-Franklin Joint — All Students,2021-22,14.272727272727273,66.7
chronic_absenteeism,Oak Creek-Franklin Joint — All Students,2022-23,12.045454545454545,-15.6
chronic_absenteeism,Rocketship Education Wisconsin Inc — All Students,2021-22,47.4,-18.4
chronic_absenteeism,Rocketship Education Wisconsin Inc — All Students,2024-25,35.43333333333333,-30.8
chronic_absenteeism,Saint Francis — All Students,2019-20,18.825,24.9
chronic_absenteeism,Saint Francis — All Students,2021-22,35.325,77.1
chronic_absenteeism,Saint Francis — All Students,2022-23,20.15,-43.0
chronic_absenteeism,Seeds of Health Inc — All Students,2019-20,16.975,46.7
chronic_absenteeism,Seeds of Health Inc — All Students,2020-21,36.75,116.5
chronic_absenteeism,Seeds of Health Inc — All Students,2021-22,43.4,18.1
chronic_absenteeism,Seeds of Health Inc — All Students,2023-24,28.8,-22.3
chronic_absenteeism,Shorewood — All Students,2020-21,9.433333333333334,-52.9
chronic_absenteeism,Shorewood — All Students,2021-22,35.699999999999996,278.4
chronic_absenteeism,Shorewood — All Students,2023-24,19.533333333333335,-39.1
chronic_absenteeism,South Milwaukee — All Students,2020-21,19.17142857142857,35.0
chronic_absenteeism,South Milwaukee — All Students,2023-24,23.414285714285715,27.5
chronic_absenteeism,Stellar Collegiate Charter School — All Students,2019-20,5.1,537.5
chronic_absenteeism,Stellar Collegiate Charter School — All Students,2020-21,33.5,556.9
chronic_absenteeism,United Community Center Inc — All Students,2024-25,17.23333333333333,-28.2
chronic_absenteeism,Wauwatosa — All Students,2019-20,10.072222222222223,36.4
chronic_absenteeism,Wauwatosa — All Students,2020-21,14.72777777777778,46.2
chronic_absenteeism,Wauwatosa — All Students,2023-24,8.538888888888888,-47.3
chronic_absenteeism,West Allis-West Milwaukee — All Students,2019-20,25.927777777777777,35.0
chronic_absenteeism,Whitefish Bay — All Students,2021-22,4.24,19.1
chronic_absenteeism,Whitefish Bay — All Students,2022-23,5.640000000000001,33.0
chronic_absenteeism,Whitefish Bay — All Students,2023-24,2.42,-57.1
chronic_absenteeism,Whitefish Bay — All Students,2024-25,2.96,22.3
chronic_absenteeism,Whitnall — All Students,2023-24,6.9,-26.0
chronic_absenteeism,Woodlands School — All Students,2019-20,10.75,36.9
chronic_absenteeism,Woodlands School — All Students,2020-21,16.65,54.9
chronic_absenteeism,Woodlands School — All Students,2021-22,24.9,49.5
chronic_absenteeism,Woodlands School - State Street Campus — All Students,2019-20,17.4,34.9
discipline,Brown Deer — All Students,2019-20,184.0,-61.7
discipline,Brown Deer — All Students,2020-21,6.0,-96.7
discipline,Brown Deer — All Students,2021-22,98.0,1533.3
discipline,Brown Deer — All Students,2022-23,34.0,-65.3
discipline,Brown Deer — All Students,2023-24,142.0,317.6
discipline,Brown Deer — All Students,2024-25,198.0,39.4
discipline,Bruce Guadalupe — All Students,2019-20,98.0,104.2
discipline,Bruce Guadalupe — All Students,2020-21,16.0,-83.7
discipline,Bruce Guadalupe — All Students,2021-22,103.0,543.8
discipline,Capitol West Academy — All Students,2019-20,234.0,-38.7
discipline,Central City Cyberschool — All Students,2019-20,138.0,81.6
discipline,Central City Cyberschool — All Students,2020-21,0.0,-100.0
discipline,Central City Cyberschool — All Students,2021-22,46.0,inf
discipline,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,56.0,40.0
discipline,Cudahy — All Students,2019-20,206.0,-60.5
discipline,Cudahy — All Students,2020-21,38.0,-81.6
discipline,Cudahy — All Students,2021-22,498.0,1210.5
discipline,Cudahy — All Students,2023-24,406.0,-15.1
