metric,group,year,value,yoy_change,pct_change
chronic_absenteeism,Brown Deer — All Students,2018-19,22.4,,
chronic_absenteeism,Brown Deer — All Students,2019-20,19.2,-3.1999999999999993,-14.28571428571428
chronic_absenteeism,Brown Deer — All Students,2020-21,20.9,1.6999999999999993,8.854166666666675
chronic_absenteeism,Brown Deer — All Students,2021-22,48.4,27.5,131.57894736842107
chronic_absenteeism,Brown Deer — All Students,2022-23,35.5,-12.899999999999999,-26.652892561983464
chronic_absenteeism,Brown Deer — All Students,2023-24,32.3,-3.200000000000003,-9.014084507042263
chronic_absenteeism,Brown Deer — All Students,2024-25,30.6,-1.6999999999999957,-5.263157894736825
chronic_absenteeism,Bruce Guadalupe — All Students,2018-19,7.7,,
chronic_absenteeism,Bruce Guadalupe — All Students,2019-20,6.3,-1.4000000000000004,-18.181818181818187
chronic_absenteeism,Bruce Guadalupe — All Students,2020-21,17.3,11.0,174.6031746031746
chronic_absenteeism,Bruce Guadalupe — All Students,2021-22,43.0,25.7,148.5549132947977
chronic_absenteeism,Capitol West Academy — All Students,2018-19,36.2,,
chronic_absenteeism,Capitol West Academy — All Students,2019-20,31.3,-4.900000000000002,-13.53591160220995
chronic_absenteeism,Carmen High School of Science and Technology Inc — All Students,2024-25,38.8,,
chronic_absenteeism,Carmen High School of Science and Technology Inc. — All Students,2023-24,42.0,,
chronic_absenteeism,"Carmen High School of Science and Technology, Inc. — All Students",2022-23,45.9,,
chronic_absenteeism,Central City Cyberschool — All Students,2018-19,23.3,,
chronic_absenteeism,Central City Cyberschool — All Students,2019-20,27.2,3.8999999999999986,16.738197424892686
chronic_absenteeism,Central City Cyberschool — All Students,2020-21,47.5,20.3,74.63235294117648
chronic_absenteeism,Central City Cyberschool — All Students,2021-22,59.8,12.299999999999997,25.89473684210526
chronic_absenteeism,Central City Cyberschool of Milwaukee Inc — All Students,2023-24,45.8,,
chronic_absenteeism,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,34.0,-11.799999999999997,-25.764192139737986
chronic_absenteeism,"Central City Cyberschool of Milwaukee, Inc. — All Students",2022-23,55.5,,
chronic_absenteeism,Cudahy — All Students,2018-19,22.0,,
chronic_absenteeism,Cudahy — All Students,2019-20,23.9,1.8999999999999986,8.636363636363619
chronic_absenteeism,Cudahy — All Students,2020-21,28.0,4.100000000000001,17.154811715481188
chronic_absenteeism,Cudahy — All Students,2021-22,32.7,4.700000000000003,16.785714285714292
chronic_absenteeism,Cudahy — All Students,2022-23,29.6,-3.1000000000000014,-9.480122324159023
chronic_absenteeism,Cudahy — All Students,2023-24,30.7,1.0999999999999979,3.716216216216206
chronic_absenteeism,Cudahy — All Students,2024-25,30.7,0.0,0.0
chronic_absenteeism,Darrell L Hines Academy Inc — All Students,2024-25,35.8,,
chronic_absenteeism,Darrell L. Hines Academy Inc — All Students,2023-24,40.2,,
chronic_absenteeism,"Darrell L. Hines Academy, Inc. — All Students",2022-23,38.6,,
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2018-19,22.2,,
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2019-20,22.3,0.10000000000000142,0.45045045045044585
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2020-21,36.8,14.499999999999996,65.02242152466367
chronic_absenteeism,Darrell Lynn Hines Academy — All Students,2021-22,48.8,12.0,32.60869565217392
chronic_absenteeism,Downtown Montessori — All Students,2018-19,0.0,,
chronic_absenteeism,Downtown Montessori — All Students,2019-20,2.4,2.4,inf
chronic_absenteeism,Downtown Montessori — All Students,2020-21,1.6,-0.7999999999999998,-33.33333333333333
chronic_absenteeism,Downtown Montessori — All Students,2021-22,18.3,16.7,1043.75
chronic_absenteeism,Downtown Montessori Academy Inc — All Students,2023-24,9.8,,
chronic_absenteeism,Downtown Montessori Academy Inc — All Students,2024-25,8.2,-1.6000000000000014,-16.326530612244916
chronic_absenteeism,"Downtown Montessori Academy, Inc. — All Students",2022-23,17.6,,
chronic_absenteeism,Dr Howard Fuller Collegiate Academy — All Students,2019-20,27.2,,
chronic_absenteeism,Dr Howard Fuller Collegiate Academy — All Students,2020-21,16.5,-10.7,-39.33823529411764
chronic_absenteeism,Dr Howard Fuller Collegiate Academy — All Students,2021-22,3.5,-13.0,-78.78787878787878
chronic_absenteeism,Dr Howard Fuller Collegiate Academy Inc — All Students,2024-25,53.7,,
chronic_absenteeism,Dr. Howard Fuller Collegiate Academy Inc — All Students,2023-24,60.7,,
chronic_absenteeism,"Dr. Howard Fuller Collegiate Academy, Inc. — All Students",2022-23,61.1,,
chronic_absenteeism,Escuela Verde — All Students,2018-19,35.1,,
