metric,group,year,value,pct_change
discipline,Brown Deer — All Students,2019-20,92.0,-61.7
discipline,Brown Deer — All Students,2020-21,3.0,-96.7
discipline,Brown Deer — All Students,2021-22,49.0,1533.3
discipline,Brown Deer — All Students,2022-23,17.0,-65.3
discipline,Brown Deer — All Students,2023-24,71.0,317.6
discipline,Brown Deer — All Students,2024-25,99.0,39.4
discipline,Bruce Guadalupe — All Students,2019-20,49.0,104.2
discipline,Bruce Guadalupe — All Students,2020-21,8.0,-83.7
discipline,Bruce Guadalupe — All Students,2021-22,52.0,550.0
discipline,Central City Cyberschool — All Students,2019-20,69.0,81.6
discipline,Central City Cyberschool — All Students,2020-21,0.0,-100.0
discipline,Central City Cyberschool — All Students,2021-22,23.0,inf
discipline,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,28.0,40.0
discipline,Cudahy — All Students,2019-20,103.0,-60.5
discipline,Cudahy — All Students,2020-21,19.0,-81.6
discipline,Cudahy — All Students,2021-22,249.0,1210.5
discipline,Cudahy — All Students,2023-24,203.0,-15.1
discipline,Dr Howard Fuller Collegiate Academy — All Students,2020-21,1.0,-98.6
discipline,Dr Howard Fuller Collegiate Academy — All Students,2021-22,117.0,11600.0
discipline,Fox Point J2 — All Students,2019-20,0.0,-100.0
discipline,Fox Point J2 — All Students,2020-21,17.0,inf
discipline,Fox Point J2 — All Students,2021-22,24.0,41.2
discipline,Fox Point J2 — All Students,2023-24,19.0,-17.4
discipline,Franklin Public — All Students,2019-20,96.0,-20.7
discipline,Franklin Public — All Students,2022-23,139.0,28.7
discipline,Franklin Public — All Students,2024-25,174.0,19.2
discipline,Glendale-River Hills — All Students,2019-20,11.0,-72.5
discipline,Glendale-River Hills — All Students,2020-21,0.0,-100.0
discipline,Glendale-River Hills — All Students,2021-22,114.0,inf
discipline,Glendale-River Hills — All Students,2022-23,49.0,-57.0
discipline,Glendale-River Hills — All Students,2023-24,27.0,-44.9
discipline,Glendale-River Hills — All Students,2024-25,137.0,407.4
discipline,Greendale — All Students,2019-20,62.0,-37.4
discipline,Greendale — All Students,2020-21,21.0,-66.1
discipline,Greendale — All Students,2021-22,64.0,204.8
discipline,Greendale — All Students,2022-23,121.0,89.1
discipline,Greendale — All Students,2023-24,95.0,-21.5
discipline,Greendale — All Students,2024-25,122.0,28.4
