metric,group,year,value,pct_change
discipline_incidents,Brown Deer — All Students,2019-20,91.0,-62.1
discipline_incidents,Brown Deer — All Students,2020-21,3.0,-96.7
discipline_incidents,Brown Deer — All Students,2021-22,49.0,1533.3
discipline_incidents,Brown Deer — All Students,2022-23,17.0,-65.3
discipline_incidents,Brown Deer — All Students,2023-24,71.0,317.6
discipline_incidents,Brown Deer — All Students,2024-25,98.0,38.0
discipline_incidents,Bruce Guadalupe — All Students,2019-20,49.0,104.2
discipline_incidents,Bruce Guadalupe — All Students,2020-21,8.0,-83.7
discipline_incidents,Bruce Guadalupe — All Students,2021-22,52.0,550.0
discipline_incidents,Capitol West Academy — All Students,2019-20,117.0,-38.7
discipline_incidents,Central City Cyberschool — All Students,2019-20,69.0,81.6
discipline_incidents,Central City Cyberschool — All Students,2020-21,0.0,-100.0
discipline_incidents,Central City Cyberschool — All Students,2021-22,23.0,inf
discipline_incidents,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,28.0,40.0
discipline_incidents,Cudahy — All Students,2019-20,103.0,-60.2
discipline_incidents,Cudahy — All Students,2020-21,19.0,-81.6
discipline_incidents,Cudahy — All Students,2021-22,249.0,1210.5
discipline_incidents,Cudahy — All Students,2023-24,202.0,-15.5
discipline_incidents,Dr Howard Fuller Collegiate Academy — All Students,2020-21,1.0,-98.6
discipline_incidents,Dr Howard Fuller Collegiate Academy — All Students,2021-22,109.0,10800.0
discipline_incidents,Escuela Verde — All Students,2019-20,22.0,-24.1
discipline_incidents,Escuela Verde — All Students,2021-22,13.0,550.0
discipline_incidents,Fox Point J2 — All Students,2019-20,0.0,-100.0
discipline_incidents,Fox Point J2 — All Students,2020-21,17.0,inf
discipline_incidents,Fox Point J2 — All Students,2021-22,24.0,41.2
discipline_incidents,Fox Point J2 — All Students,2023-24,19.0,-17.4
discipline_incidents,Franklin Public — All Students,2019-20,96.0,-20.7
discipline_incidents,Franklin Public — All Students,2022-23,139.0,28.7
discipline_incidents,Franklin Public — All Students,2024-25,174.0,19.2
discipline_incidents,Glendale-River Hills — All Students,2019-20,11.0,-72.5
discipline_incidents,Glendale-River Hills — All Students,2020-21,0.0,-100.0
discipline_incidents,Glendale-River Hills — All Students,2021-22,114.0,inf
discipline_incidents,Glendale-River Hills — All Students,2022-23,49.0,-57.0
discipline_incidents,Glendale-River Hills — All Students,2023-24,27.0,-44.9
discipline_incidents,Glendale-River Hills — All Students,2024-25,137.0,407.4
discipline_incidents,Greendale — All Students,2019-20,62.0,-37.4
discipline_incidents,Greendale — All Students,2020-21,21.0,-66.1
discipline_incidents,Greendale — All Students,2021-22,64.0,204.8
discipline_incidents,Greendale — All Students,2022-23,119.0,85.9
discipline_incidents,Greendale — All Students,2023-24,94.0,-21.0
discipline_incidents,Greendale — All Students,2024-25,122.0,29.8
discipline_incidents,Greenfield — All Students,2019-20,172.0,-27.1
discipline_incidents,Greenfield — All Students,2020-21,103.0,-40.1
discipline_incidents,Greenfield — All Students,2021-22,319.0,209.7
discipline_incidents,Greenfield — All Students,2022-23,376.0,17.9
discipline_incidents,Greenfield — All Students,2023-24,487.0,29.5
discipline_incidents,Maple Dale-Indian Hill — All Students,2019-20,15.0,50.0
discipline_incidents,Maple Dale-Indian Hill — All Students,2020-21,0.0,-100.0
discipline_incidents,Maple Dale-Indian Hill — All Students,2021-22,19.0,inf
discipline_incidents,Maple Dale-Indian Hill — All Students,2022-23,9.0,-52.6
discipline_incidents,Maple Dale-Indian Hill — All Students,2023-24,11.0,22.2
discipline_incidents,Milwaukee — All Students,2019-20,16439.0,-28.4
discipline_incidents,Milwaukee — All Students,2020-21,9.0,-99.9
discipline_incidents,Milwaukee — All Students,2021-22,23643.0,262600.0
discipline_incidents,Milwaukee Academy of Science — All Students,2019-20,413.0,15.7
discipline_incidents,Milwaukee Academy of Science — All Students,2020-21,2.0,-99.5
