metric,group,year,value,yoy_change,pct_change
discipline_incidents,Brown Deer — All Students,2018-19,240.0,,
discipline_incidents,Brown Deer — All Students,2019-20,91.0,-149.0,-62.083333333333336
discipline_incidents,Brown Deer — All Students,2020-21,3.0,-88.0,-96.7032967032967
discipline_incidents,Brown Deer — All Students,2021-22,49.0,46.0,1533.3333333333333
discipline_incidents,Brown Deer — All Students,2022-23,17.0,-32.0,-65.3061224489796
discipline_incidents,Brown Deer — All Students,2023-24,71.0,54.0,317.64705882352945
discipline_incidents,Brown Deer — All Students,2024-25,98.0,27.0,38.0281690140845
discipline_incidents,Bruce Guadalupe — All Students,2018-19,24.0,,
discipline_incidents,Bruce Guadalupe — All Students,2019-20,49.0,25.0,104.16666666666666
discipline_incidents,Bruce Guadalupe — All Students,2020-21,8.0,-41.0,-83.6734693877551
discipline_incidents,Bruce Guadalupe — All Students,2021-22,52.0,44.0,550.0
discipline_incidents,Capitol West Academy — All Students,2018-19,191.0,,
discipline_incidents,Capitol West Academy — All Students,2019-20,117.0,-74.0,-38.74345549738219
discipline_incidents,Carmen High School of Science and Technology Inc — All Students,2024-25,21.0,,
discipline_incidents,Carmen High School of Science and Technology Inc. — All Students,2023-24,16.0,,
discipline_incidents,"Carmen High School of Science and Technology, Inc. — All Students",2022-23,76.0,,
discipline_incidents,Central City Cyberschool — All Students,2018-19,38.0,,
discipline_incidents,Central City Cyberschool — All Students,2019-20,69.0,31.0,81.57894736842107
discipline_incidents,Central City Cyberschool — All Students,2020-21,0.0,-69.0,-100.0
discipline_incidents,Central City Cyberschool — All Students,2021-22,23.0,23.0,inf
discipline_incidents,Central City Cyberschool of Milwaukee Inc — All Students,2023-24,20.0,,
discipline_incidents,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,28.0,8.0,39.99999999999999
discipline_incidents,"Central City Cyberschool of Milwaukee, Inc. — All Students",2022-23,1.0,,
discipline_incidents,Cudahy — All Students,2018-19,259.0,,
