dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio,focus_overrep_index,focus_enrollment
Disability Status,Oak Creek-Franklin Joint,Carollton Elementary,2024-25,SwD,14.04,SwoD,0.31,45.29,SwD,14.04,SwoD,0.31,45.29,5.86,57.0
Disability Status,Greendale,Canterbury Elementary,2024-25,SwD,35.14,SwoD,1.6,21.96,SwD,35.14,SwoD,1.6,21.96,6.83,37.0
Disability Status,Shorewood,Atwater Elementary,2024-25,SwD,8.7,SwoD,0.47,18.51,SwD,8.7,SwoD,0.47,18.51,6.87,46.0
Disability Status,West Allis-West Milwaukee,Franklin Elementary,2024-25,SwD,33.33,SwoD,2.01,16.58,SwD,33.33,SwoD,2.01,16.58,4.28,45.0
Disability Status,Whitnall,Edgerton Elementary,2024-25,SwD,10.0,SwoD,0.65,15.38,SwD,10.0,SwoD,0.65,15.38,4.2,70.0
Disability Status,Milwaukee,Parkview Elementary,2024-25,SwD,10.71,SwoD,0.72,14.88,SwD,10.71,SwoD,0.72,14.88,4.49,56.0
Disability Status,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2024-25,SwD,18.37,SwoD,1.24,14.81,SwD,18.37,SwoD,1.24,14.81,3.51,49.0
Disability Status,Oak Creek-Franklin Joint,Cedar Hills Elementary,2024-25,SwD,28.57,SwoD,1.98,14.43,SwD,28.57,SwoD,1.98,14.43,4.96,42.0
Disability Status,Rocketship Education Wisconsin,Rocketship Southside Community Prep,2024-25,SwD,21.18,SwoD,1.5,14.12,SwD,21.18,SwoD,1.5,14.12,3.85,85.0
Disability Status,Whitefish Bay,Richards Elementary,2024-25,SwD,2.33,SwoD,0.17,13.71,SwD,2.33,SwoD,0.17,13.71,5.27,86.0
Disability Status,Milwaukee,Clemens Elementary,2024-25,SwD,5.0,SwoD,0.38,13.16,SwD,5.0,SwoD,0.38,13.16,4.01,60.0
Disability Status,Whitefish Bay,Whitefish Bay Middle,2024-25,SwD,7.14,SwoD,0.57,12.53,SwD,7.14,SwoD,0.57,12.53,4.86,84.0
Disability Status,Greenfield,Glenwood Elementary,2024-25,SwD,87.18,SwoD,7.09,12.3,SwD,87.18,SwoD,7.09,12.3,5.05,39.0
Disability Status,Milwaukee,Academy of Accelerated Learning,2024-25,SwD,12.62,SwoD,1.03,12.25,SwD,12.62,SwoD,1.03,12.25,3.66,103.0
Disability Status,Franklin Public,Forest Park Middle,2024-25,SwD,47.42,SwoD,4.17,11.37,SwD,47.42,SwoD,4.17,11.37,5.82,97.0
Disability Status,Fox Point J2,Bayside Middle,2024-25,SwD,22.92,SwoD,2.05,11.18,SwD,22.92,SwoD,2.05,11.18,4.58,48.0
Disability Status,Wauwatosa,Eisenhower Elementary,2024-25,SwD,13.73,SwoD,1.24,11.07,SwD,13.73,SwoD,1.24,11.07,4.65,51.0
Disability Status,Wauwatosa,Lincoln Elementary,2024-25,SwD,8.77,SwoD,1.08,8.12,SwD,8.77,SwoD,1.08,8.12,3.68,57.0
Disability Status,Fox Point J2,Stormonth Elementary,2024-25,SwD,3.77,SwoD,0.48,7.85,SwD,3.77,SwoD,0.48,7.85,4.46,53.0
Disability Status,Greenfield,Maple Grove Elementary,2024-25,SwD,54.79,SwoD,7.06,7.76,SwD,54.79,SwoD,7.06,7.76,3.6,73.0
Disability Status,Rocketship Education Wisconsin,Rocketship Transformation Prep,2024-25,SwD,58.33,SwoD,7.61,7.66,SwD,58.33,SwoD,7.61,7.66,5.07,24.0
Disability Status,Milwaukee,Hawthorne Elementary,2024-25,SwD,15.25,SwoD,2.0,7.62,SwD,15.25,SwoD,2.0,7.62,3.04,59.0
Disability Status,Milwaukee,Victory Elementary,2024-25,SwD,12.5,SwoD,1.65,7.58,SwD,12.5,SwoD,1.65,7.58,4.03,56.0
Disability Status,West Allis-West Milwaukee,Mitchell Elementary,2024-25,SwD,6.67,SwoD,0.9,7.41,SwD,6.67,SwoD,0.9,7.41,3.56,45.0
Disability Status,Milwaukee,Reagan College Preparatory High,2024-25,SwD,25.84,SwoD,3.52,7.34,SwD,25.84,SwoD,3.52,7.34,4.03,178.0
Disability Status,Greenfield,Elm Dale Elementary,2024-25,SwD,26.09,SwoD,3.68,7.09,SwD,26.09,SwoD,3.68,7.09,3.77,69.0
Disability Status,Milwaukee,Milwaukee French Immersion,2024-25,SwD,13.04,SwoD,1.84,7.09,SwD,13.04,SwoD,1.84,7.09,4.27,46.0
Disability Status,Milwaukee,Cooper Elementary,2024-25,SwD,20.0,SwoD,3.12,6.41,SwD,20.0,SwoD,3.12,6.41,2.98,95.0
Disability Status,Wauwatosa,Wilson Elementary,2024-25,SwD,3.77,SwoD,0.61,6.18,SwD,3.77,SwoD,0.61,6.18,2.74,53.0
Disability Status,Milwaukee,Maryland Montessori,2024-25,SwD,4.55,SwoD,0.74,6.15,SwD,4.55,SwoD,0.74,6.15,3.56,66.0
Disability Status,Milwaukee,U S Grant School,2024-25,SwD,73.42,SwoD,12.25,5.99,SwD,73.42,SwoD,12.25,5.99,3.58,79.0
Disability Status,West Allis-West Milwaukee,Jefferson Elementary,2024-25,SwD,18.75,SwoD,3.19,5.88,SwD,18.75,SwoD,3.19,5.88,2.95,80.0
Disability Status,Milwaukee,La Causa Charter School,2024-25,SwD,6.94,SwoD,1.23,5.64,SwD,6.94,SwoD,1.23,5.64,3.52,72.0
Disability Status,West Allis-West Milwaukee,Pershing Elementary,2024-25,SwD,24.44,SwoD,4.39,5.57,SwD,24.44,SwoD,4.39,5.57,3.06,45.0
Disability Status,Milwaukee,Zablocki Elementary,2024-25,SwD,40.3,SwoD,7.65,5.27,SwD,40.3,SwoD,7.65,5.27,2.46,67.0
Disability Status,Wauwatosa,McKinley Elementary,2024-25,SwD,7.69,SwoD,1.49,5.16,SwD,7.69,SwoD,1.49,5.16,3.32,52.0
Disability Status,Wauwatosa,Underwood Elementary,2024-25,SwD,13.33,SwoD,2.59,5.15,SwD,13.33,SwoD,2.59,5.15,3.23,45.0
