metric,dimension,group,category,unit,district,school,year,value,count,group_enrollment,status_flag
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,0.88,1.0,114.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,114.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,33.43,118.0,353.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,353.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,13.33,10.0,75.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,75.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,72.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,72.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2018-19,7.78,14.0,180.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2018-19,0.0,0.0,180.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,106.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,106.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,3.69,11.0,298.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,298.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,83.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,83.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,68.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,68.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,143.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2019-20,0.0,0.0,143.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,104.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,104.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,1.02,3.0,294.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,294.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,77.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,77.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,64.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,64.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,110.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2020-21,0.0,0.0,110.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,1.96,2.0,102.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,102.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,5.96,19.0,319.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,319.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,1.54,1.0,65.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,65.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,56.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,100.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Elementary,2021-22,0.0,0.0,100.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,135.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Elementary,2022-23,0.0,0.0,135.0,Zero reported
