metric,category,unit,direction,district,school,enrollment,prior_year,latest_year,prior_value,latest_value,change,pct_change
discipline,all,rate,increase,Milwaukee,Wisconsin Conservatory of Lifelong Learning,286,2023-24,2024-25,167.98,349.65,181.67,108.1
discipline,all,rate,increase,Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,696,2023-24,2024-25,89.6,160.34,70.74,79.0
discipline,all,rate,increase,Milwaukee,Alliance School of Milwaukee,141,2023-24,2024-25,47.74,102.84,55.1,115.4
discipline,all,rate,increase,Milwaukee,River Trail School of Agricultural Science,406,2023-24,2024-25,30.27,79.06,48.79,161.2
discipline,all,rate,increase,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,526,2023-24,2024-25,3.41,46.01,42.6,1249.3
discipline,all,rate,increase,Milwaukee,Wedgewood Park School,541,2023-24,2024-25,67.21,109.43,42.22,62.8
discipline,all,rate,increase,Milwaukee,Starms Discovery,268,2023-24,2024-25,26.52,60.07,33.55,126.5
discipline,all,rate,increase,Milwaukee,Harold S Vincent School of Agricultural Science,611,2023-24,2024-25,181.5,208.67,27.17,15.0
discipline,all,rate,increase,Milwaukee,Carson Academy,326,2023-24,2024-25,40.06,67.18,27.12,67.7
discipline,all,rate,increase,Wauwatosa,Vel R Phillips School,139,2023-24,2024-25,23.53,50.36,26.83,114.0
discipline,all,rate,increase,Milwaukee,King Jr Elementary,277,2023-24,2024-25,62.75,88.45,25.7,41.0
discipline,all,rate,increase,Milwaukee,Franklin Elementary,311,2023-24,2024-25,56.4,81.03,24.63,43.7
discipline,all,rate,increase,Milwaukee,WHS Information Technology,402,2023-24,2024-25,105.54,128.86,23.32,22.1
discipline,all,rate,increase,Milwaukee,Green Tree Preparatory Academy,535,2023-24,2024-25,64.52,87.29,22.77,35.3
discipline,all,rate,increase,Darrell L. Hines Academy,Darrell Lynn Hines Academy,180,2023-24,2024-25,27.33,50.0,22.67,82.9
discipline,all,rate,decrease,Milwaukee,Morse Mid,383,2023-24,2024-25,159.62,64.75,-94.87,-59.4
discipline,all,rate,decrease,Milwaukee,King International Baccalaureate Middle,159,2023-24,2024-25,223.33,130.19,-93.14,-41.7
discipline,all,rate,decrease,Milwaukee,Clarke Street Elementary,167,2023-24,2024-25,139.46,56.89,-82.57,-59.2
discipline,all,rate,decrease,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,608,2023-24,2024-25,126.6,63.49,-63.11,-49.8
discipline,all,rate,decrease,Milwaukee,Milwaukee Sign Language Elementary,384,2023-24,2024-25,144.69,85.68,-59.01,-40.8
discipline,all,rate,decrease,Milwaukee,Curtin Elementary,301,2023-24,2024-25,48.06,13.29,-34.77,-72.3
discipline,all,rate,decrease,Milwaukee,Andrew S Douglas Middle,106,2023-24,2024-25,217.92,183.96,-33.96,-15.6
discipline,all,rate,decrease,Milwaukee,Riverwest Elementary,244,2023-24,2024-25,45.09,13.52,-31.57,-70.0
discipline,all,rate,decrease,Milwaukee,Audubon Technology and Communication Middle,345,2023-24,2024-25,169.02,138.84,-30.18,-17.9
discipline,all,rate,decrease,Milwaukee,South Division High,923,2023-24,2024-25,120.78,90.9,-29.88,-24.7
discipline,all,rate,decrease,Milwaukee,Hopkins Lloyd Community School,143,2023-24,2024-25,34.38,9.09,-25.29,-73.6
