metric,category,unit,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,1.83,,,,1310.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,3.6,1.77,96.72131147540983,,1363.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,0.58,-3.02,-83.88888888888889,Small count (<10 removals) — rate imprecise,1376.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,3.59,3.01,518.9655172413793,,1421.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2022-23,3.9,0.31000000000000005,8.635097493036215,"Authorizer/reporting changed to United Community Center, 2022-23",1360.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2023-24,5.6,1.6999999999999997,43.58974358974359,,1410.0
discipline,all,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2024-25,3.15,-2.4499999999999997,-43.75,,1364.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,1.83,,,,1310.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,3.6,1.77,96.72131147540983,,1363.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,0.58,-3.02,-83.88888888888889,Small count (<10 removals) — rate imprecise,1376.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,3.59,3.01,518.9655172413793,,1421.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2022-23,3.9,0.31000000000000005,8.635097493036215,"Authorizer/reporting changed to United Community Center, 2022-23",1360.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2023-24,5.6,1.6999999999999997,43.58974358974359,,1410.0
discipline,suspension,rate,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2024-25,3.15,-2.4499999999999997,-43.75,,1364.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,0.0,,,Zero expulsions reported,1310.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,0.0,0.0,,Zero expulsions reported,1363.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,0.0,0.0,,Zero expulsions reported,1376.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,0.0,0.0,,Zero expulsions reported,1421.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to United Community Center, 2022-23; Zero expulsions reported",1360.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2023-24,0.0,0.0,,Zero expulsions reported,1410.0
discipline,expulsion,count,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2024-25,0.0,0.0,,Zero expulsions reported,1364.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2018-19,0.0,,,Zero suspensions/expulsions reported,68.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2019-20,0.0,0.0,,Zero suspensions/expulsions reported,148.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2020-21,0.0,0.0,,Zero suspensions/expulsions reported,199.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2021-22,14.37,14.37,,"Authorizer/reporting changed to Carmen Middle School South, 2021-22",174.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2022-23,21.02,6.65,46.27696590118302,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23",176.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2023-24,0.97,-20.05,-95.38534728829686,Small count (<10 removals) — rate imprecise,206.0
discipline,all,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2024-25,6.28,5.3100000000000005,547.4226804123712,,191.0
discipline,suspension,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2018-19,0.0,,,Zero out-of-school suspensions reported,68.0
discipline,suspension,rate,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2019-20,0.0,0.0,,Zero out-of-school suspensions reported,148.0
