metric,group,year,value,yoy_change,pct_change
discipline,Brown Deer — All Students,2018-19,480.0,,
discipline,Brown Deer — All Students,2019-20,184.0,-296.0,-61.66666666666667
discipline,Brown Deer — All Students,2020-21,6.0,-178.0,-96.73913043478261
discipline,Brown Deer — All Students,2021-22,98.0,92.0,1533.3333333333333
discipline,Brown Deer — All Students,2022-23,34.0,-64.0,-65.3061224489796
discipline,Brown Deer — All Students,2023-24,142.0,108.0,317.64705882352945
discipline,Brown Deer — All Students,2024-25,198.0,56.0,39.43661971830985
discipline,Bruce Guadalupe — All Students,2018-19,48.0,,
discipline,Bruce Guadalupe — All Students,2019-20,98.0,50.0,104.16666666666666
discipline,Bruce Guadalupe — All Students,2020-21,16.0,-82.0,-83.6734693877551
discipline,Bruce Guadalupe — All Students,2021-22,103.0,87.0,543.75
discipline,Capitol West Academy — All Students,2018-19,382.0,,
discipline,Capitol West Academy — All Students,2019-20,234.0,-148.0,-38.74345549738219
discipline,Carmen High School of Science and Technology Inc — All Students,2024-25,42.0,,
discipline,Carmen High School of Science and Technology Inc. — All Students,2023-24,32.0,,
discipline,"Carmen High School of Science and Technology, Inc. — All Students",2022-23,152.0,,
discipline,Carmen Middle School South — All Students,2021-22,25.0,,
discipline,Central City Cyberschool — All Students,2018-19,76.0,,
discipline,Central City Cyberschool — All Students,2019-20,138.0,62.0,81.57894736842107
discipline,Central City Cyberschool — All Students,2020-21,0.0,-138.0,-100.0
discipline,Central City Cyberschool — All Students,2021-22,46.0,46.0,inf
discipline,Central City Cyberschool of Milwaukee Inc — All Students,2023-24,40.0,,
discipline,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,56.0,16.0,39.99999999999999
discipline,"Central City Cyberschool of Milwaukee, Inc. — All Students",2022-23,2.0,,
discipline,Cudahy — All Students,2018-19,522.0,,
discipline,Cudahy — All Students,2019-20,206.0,-316.0,-60.53639846743295
discipline,Cudahy — All Students,2020-21,38.0,-168.0,-81.55339805825243
discipline,Cudahy — All Students,2021-22,498.0,460.0,1210.5263157894735
discipline,Cudahy — All Students,2022-23,478.0,-20.0,-4.016064257028118
