metric,group,year,value,pct_change
enrollment,Central City Cyberschool — All Students,2019-20,948.0,15.0
enrollment,Downtown Montessori — All Students,2021-22,482.0,-17.5
enrollment,Milwaukee Math and Science Academy — All Students,2019-20,444.0,-24.5
enrollment,Milwaukee Science Education Consortium Inc — All Students,2024-25,3422.0,21.9
enrollment,Rocketship Education Wisconsin Inc — All Students,2019-20,1338.0,17.0
enrollment,Rocketship Education Wisconsin Inc — All Students,2024-25,1462.0,16.2
enrollment,Seeds of Health Inc — All Students,2020-21,2294.0,25.8
enrollment,Stellar Collegiate Charter School — All Students,2019-20,380.0,28.4
enrollment,Stellar Collegiate Charter School — All Students,2020-21,478.0,25.8
enrollment,United Community Center Acosta Middle — All Students,2020-21,422.0,18.5
enrollment,Woodlands School - State Street Campus — All Students,2020-21,546.0,-20.9
