metric,dimension,group,district,school,year,value,share,status_flag
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.1255,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2018-19,697.0,0.8745,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2019-20,80.0,0.1143,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2019-20,620.0,0.8857,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2020-21,67.0,0.1031,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2020-21,583.0,0.8969,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2021-22,66.0,0.1026,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2021-22,577.0,0.8974,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2022-23,83.0,0.1171,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2022-23,626.0,0.8829,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2023-24,98.0,0.1357,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2023-24,624.0,0.8643,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Elementary,2024-25,112.0,0.158,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Elementary,2024-25,597.0,0.842,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2018-19,119.0,0.1644,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2018-19,605.0,0.8356,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2019-20,105.0,0.1232,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2019-20,746.0,0.8756,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2020-21,121.0,0.144,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2020-21,719.0,0.856,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2021-22,114.0,0.126,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2021-22,791.0,0.874,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2022-23,115.0,0.1218,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2022-23,829.0,0.8782,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2023-24,106.0,0.1146,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2023-24,819.0,0.8854,
enrollment,Disability Status,SwD,Brown Deer,Brown Deer Middle/High,2024-25,100.0,0.1106,
enrollment,Disability Status,SwoD,Brown Deer,Brown Deer Middle/High,2024-25,804.0,0.8894,
enrollment,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2018-19,85.0,0.0649,
enrollment,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2018-19,1225.0,0.9351,
enrollment,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2019-20,98.0,0.0719,
enrollment,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2019-20,1265.0,0.9281,
enrollment,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2020-21,115.0,0.0836,
enrollment,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2020-21,1261.0,0.9164,
enrollment,Disability Status,SwD,Bruce Guadalupe,Bruce Guadalupe,2021-22,124.0,0.0873,
enrollment,Disability Status,SwoD,Bruce Guadalupe,Bruce Guadalupe,2021-22,1297.0,0.9127,
enrollment,Disability Status,SwD,Capitol West Academy,Capitol West Academy,2018-19,39.0,0.1393,
enrollment,Disability Status,SwoD,Capitol West Academy,Capitol West Academy,2018-19,241.0,0.8607,
enrollment,Disability Status,SwD,Capitol West Academy,Capitol West Academy,2019-20,34.0,0.1349,
enrollment,Disability Status,SwoD,Capitol West Academy,Capitol West Academy,2019-20,218.0,0.8651,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,13.0,0.0739,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2022-23,163.0,0.9261,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,25.0,0.1214,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2023-24,181.0,0.8786,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,40.0,0.2094,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Carmen Middle School South,2024-25,151.0,0.7906,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,37.0,0.1588,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2022-23,196.0,0.8412,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,38.0,0.1751,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,179.0,0.8249,
enrollment,Disability Status,SwD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,33.0,0.1737,
enrollment,Disability Status,SwoD,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,157.0,0.8263,
enrollment,Disability Status,SwD,Carmen Middle School South,Carmen Middle School South,2021-22,6.0,0.0345,
enrollment,Disability Status,SwoD,Carmen Middle School South,Carmen Middle School South,2021-22,168.0,0.9655,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,24.0,0.0583,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,388.0,0.9417,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,39.0,0.0823,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,435.0,0.9177,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,48.0,0.1132,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,376.0,0.8868,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,33.0,0.0773,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,392.0,0.918,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,28.0,0.072,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,361.0,0.928,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,20.0,0.0529,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,357.0,0.9444,
enrollment,Disability Status,SwD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,16.0,0.0466,
enrollment,Disability Status,SwoD,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,327.0,0.9534,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2018-19,118.0,0.1599,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2018-19,620.0,0.8401,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2019-20,109.0,0.1506,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2019-20,615.0,0.8494,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2020-21,109.0,0.1587,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2020-21,578.0,0.8413,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2021-22,107.0,0.1644,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2021-22,544.0,0.8356,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2022-23,110.0,0.1634,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2022-23,563.0,0.8366,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2023-24,111.0,0.1637,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2023-24,567.0,0.8363,
enrollment,Disability Status,SwD,Cudahy,Cudahy High,2024-25,99.0,0.1537,
enrollment,Disability Status,SwoD,Cudahy,Cudahy High,2024-25,545.0,0.8463,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2018-19,74.0,0.1442,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2018-19,439.0,0.8558,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2019-20,89.0,0.1657,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2019-20,448.0,0.8343,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2020-21,89.0,0.1787,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2020-21,409.0,0.8213,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2021-22,82.0,0.1719,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2021-22,395.0,0.8281,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2022-23,87.0,0.2076,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2022-23,332.0,0.7924,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2023-24,55.0,0.2091,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2023-24,208.0,0.7909,
enrollment,Disability Status,SwD,Cudahy,Cudahy Middle,2024-25,49.0,0.1984,
enrollment,Disability Status,SwoD,Cudahy,Cudahy Middle,2024-25,198.0,0.8016,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2018-19,31.0,0.2627,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2018-19,87.0,0.7373,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2019-20,42.0,0.2727,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2019-20,112.0,0.7273,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2020-21,36.0,0.2169,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2020-21,130.0,0.7831,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2021-22,37.0,0.2176,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2021-22,133.0,0.7824,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2022-23,46.0,0.2722,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2022-23,123.0,0.7278,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2023-24,53.0,0.2834,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2023-24,134.0,0.7166,
enrollment,Disability Status,SwD,Cudahy,Jones Elementary,2024-25,41.0,0.2398,
enrollment,Disability Status,SwoD,Cudahy,Jones Elementary,2024-25,130.0,0.7602,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2018-19,46.0,0.1941,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2018-19,191.0,0.8059,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2019-20,37.0,0.1779,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2019-20,171.0,0.8221,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2020-21,41.0,0.2071,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2020-21,157.0,0.7929,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2021-22,43.0,0.2129,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2021-22,159.0,0.7871,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2022-23,44.0,0.2366,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2022-23,142.0,0.7634,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2023-24,56.0,0.2557,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2023-24,163.0,0.7443,
enrollment,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2024-25,53.0,0.2548,
enrollment,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2024-25,155.0,0.7452,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2018-19,35.0,0.1429,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2018-19,210.0,0.8571,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2019-20,51.0,0.2116,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2019-20,190.0,0.7884,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2020-21,47.0,0.2035,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2020-21,184.0,0.7965,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2021-22,61.0,0.2285,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2021-22,206.0,0.7715,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2022-23,55.0,0.2174,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2022-23,198.0,0.7826,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2023-24,63.0,0.2136,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2023-24,232.0,0.7864,
enrollment,Disability Status,SwD,Cudahy,Lincoln Elementary,2024-25,65.0,0.2083,
enrollment,Disability Status,SwoD,Cudahy,Lincoln Elementary,2024-25,247.0,0.7917,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2018-19,41.0,0.168,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2018-19,203.0,0.832,
