metric,district,school,group,year,value,yoy_change,pct_change,status_flag
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2018-19,1310,,,
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2019-20,1363,53.0,4.045801526717563,
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2020-21,1376,13.0,0.9537784299339602,
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2021-22,1421,45.0,3.2703488372092915,
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2022-23,1360,-61.0,-4.292751583391974,"Authorizer/reporting changed to United Community Center, 2022-23"
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2023-24,1410,50.0,3.6764705882353033,
enrollment,United Community Center,Bruce Guadalupe,Bruce Guadalupe — All Students,2024-25,1364,-46.0,-3.262411347517735,
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2018-19,68,,,
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2019-20,148,80.0,117.64705882352939,
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2020-21,199,51.0,34.45945945945945,
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2021-22,174,-25.0,-12.562814070351758,"Authorizer/reporting changed to Carmen Middle School South, 2021-22"
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2022-23,176,2.0,1.1494252873563315,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23"
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2023-24,206,30.0,17.04545454545454,
enrollment,Carmen High School of Science and Technology,Carmen Middle School South,Carmen Middle School South — All Students,2024-25,191,-15.0,-7.281553398058249,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2018-19,120,,,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2019-20,118,-2.0,-1.6666666666666718,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2020-21,119,1.0,0.8474576271186418,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2021-22,120,1.0,0.8403361344537785,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2022-23,121,1.0,0.8333333333333304,"Authorizer/reporting changed to Trans Center for Youth, 2022-23"
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2023-24,120,-1.0,-0.8264462809917328,
enrollment,Trans Center for Youth,Escuela Verde,Escuela Verde — All Students,2024-25,121,1.0,0.8333333333333304,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2018-19,1132,,,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2019-20,1220,88.0,7.773851590106018,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2020-21,1266,46.0,3.770491803278686,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2021-22,1349,83.0,6.556082148499209,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2022-23,1401,52.0,3.854707190511486,"Authorizer/reporting changed to Milwaukee Science Education Consortium, 2022-23"
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2023-24,1404,3.0,0.21413276231263545,
enrollment,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2024-25,1711,307.0,21.86609686609686,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2018-19,148,,,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2019-20,190,42.0,28.37837837837838,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2020-21,239,49.0,25.789473684210517,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2021-22,260,21.0,8.786610878661083,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2022-23,233,-27.0,-10.384615384615381,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23"
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2023-24,217,-16.0,-6.866952789699576,
enrollment,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2024-25,190,-27.0,-12.442396313364057,
enrollment,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2018-19,168,,,
enrollment,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2019-20,178,10.0,5.952380952380953,
enrollment,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2020-21,211,33.0,18.53932584269662,
enrollment,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2021-22,209,-2.0,-0.9478672985781977,
