metric,group,year,value,yoy_change,pct_change
enrollment,Brown Deer — All Students,2018-19,3042.0,,
enrollment,Brown Deer — All Students,2019-20,3104.0,62.0,2.0381328073635796
enrollment,Brown Deer — All Students,2020-21,2980.0,-124.0,-3.994845360824739
enrollment,Brown Deer — All Students,2021-22,3120.0,140.0,4.697986577181212
enrollment,Brown Deer — All Students,2022-23,3310.0,190.0,6.08974358974359
enrollment,Brown Deer — All Students,2023-24,3294.0,-16.0,-0.4833836858006091
enrollment,Brown Deer — All Students,2024-25,3226.0,-68.0,-2.0643594414086253
enrollment,Bruce Guadalupe — All Students,2018-19,2620.0,,
enrollment,Bruce Guadalupe — All Students,2019-20,2726.0,106.0,4.045801526717563
enrollment,Bruce Guadalupe — All Students,2020-21,2752.0,26.0,0.9537784299339602
enrollment,Bruce Guadalupe — All Students,2021-22,2842.0,90.0,3.2703488372092915
enrollment,Capitol West Academy — All Students,2018-19,560.0,,
enrollment,Capitol West Academy — All Students,2019-20,504.0,-56.0,-9.999999999999998
enrollment,Carmen High School of Science and Technology Inc — All Students,2024-25,762.0,,
enrollment,Carmen High School of Science and Technology Inc. — All Students,2023-24,846.0,,
enrollment,"Carmen High School of Science and Technology, Inc. — All Students",2022-23,818.0,,
enrollment,Carmen Middle School South — All Students,2021-22,348.0,,
enrollment,Central City Cyberschool — All Students,2018-19,824.0,,
enrollment,Central City Cyberschool — All Students,2019-20,948.0,124.0,15.048543689320383
enrollment,Central City Cyberschool — All Students,2020-21,848.0,-100.0,-10.54852320675106
enrollment,Central City Cyberschool — All Students,2021-22,854.0,6.0,0.7075471698113178
enrollment,Central City Cyberschool of Milwaukee Inc — All Students,2023-24,756.0,,
enrollment,Central City Cyberschool of Milwaukee Inc — All Students,2024-25,686.0,-70.0,-9.259259259259256
enrollment,"Central City Cyberschool of Milwaukee, Inc. — All Students",2022-23,778.0,,
enrollment,Cudahy — All Students,2018-19,4652.0,,
enrollment,Cudahy — All Students,2019-20,4592.0,-60.0,-1.2897678417884806
enrollment,Cudahy — All Students,2020-21,4366.0,-226.0,-4.921602787456447
enrollment,Cudahy — All Students,2021-22,4306.0,-60.0,-1.374255611543751
enrollment,Cudahy — All Students,2022-23,4186.0,-120.0,-2.786809103576404
