metric,subject,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
forward,ela,Disability Status,United Community Center,Bruce Guadalupe,2024-25,SwoD,50.5,SwD,2.0,25.25,SwoD,50.5,SwD,2.0,25.25
forward,ela,Disability Status,Milwaukee,Alcott Elementary,2024-25,SwoD,42.1,SwD,2.3,18.3,SwoD,42.1,SwD,2.3,18.3
forward,ela,Disability Status,Milwaukee,Morgandale Elementary,2024-25,SwoD,24.6,SwD,1.4,17.57,SwoD,24.6,SwD,1.4,17.57
forward,ela,Disability Status,Milwaukee,Milwaukee College Preparatory School: Lola Rowe North Campus,2024-25,SwoD,39.6,SwD,2.5,15.84,SwoD,39.6,SwD,2.5,15.84
forward,ela,Disability Status,Milwaukee Science Education Consortium,Milwaukee Academy of Science,2024-25,SwoD,15.4,SwD,1.0,15.4,SwoD,15.4,SwD,1.0,15.4
forward,ela,Disability Status,Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,2024-25,SwoD,29.0,SwD,1.9,15.26,SwoD,29.0,SwD,1.9,15.26
forward,ela,Disability Status,Milwaukee,Fairview Elementary,2024-25,SwoD,62.2,SwD,4.3,14.47,SwoD,62.2,SwD,4.3,14.47
forward,ela,Disability Status,Milwaukee,U S Grant School,2024-25,SwoD,26.8,SwD,1.9,14.11,SwoD,26.8,SwD,1.9,14.11
forward,ela,Disability Status,Milwaukee,Hayes Bilingual School,2024-25,SwoD,19.4,SwD,1.4,13.86,SwoD,19.4,SwD,1.4,13.86
forward,ela,Disability Status,Milwaukee,Milwaukee Parkside School,2024-25,SwoD,50.4,SwD,3.8,13.26,SwoD,50.4,SwD,3.8,13.26
forward,ela,Disability Status,Milwaukee,Doerfler Elementary,2024-25,SwoD,17.5,SwD,1.4,12.5,SwoD,17.5,SwD,1.4,12.5
forward,ela,Disability Status,Milwaukee,Greenfield Bilingual,2024-25,SwoD,31.0,SwD,2.8,11.07,SwoD,31.0,SwD,2.8,11.07
