metric,dimension,group,subject,unit,district,school,year,value,pct_below,tested,status_flag
forward,All Students,All Students,ela,pct,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.0,25,
forward,Gender,Female,math,pct,Greenfield,Elm Dale Elementary,2018-19,100.0,0.0,8,
forward,Gender,Male,math,pct,Greenfield,Elm Dale Elementary,2018-19,100.0,0.0,6,
forward,Disability Status,SwoD,ela,pct,Whitnall,Hales Corners Elementary,2018-19,100.0,0.0,18,
forward,Gender,Female,math,pct,Greenfield,Greenfield Middle,2018-19,100.0,0.0,12,
forward,Gender,Male,math,pct,Greenfield,Greenfield Middle,2018-19,100.0,0.0,14,
forward,Gender,Male,math,pct,Greenfield,Maple Grove Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,Whitnall,Edgerton Elementary,2018-19,100.0,0.0,41,
forward,Disability Status,SwD,ela,pct,Whitnall,Edgerton Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Maple Dale-Indian Hill,Maple Dale School,2018-19,100.0,0.0,28,
forward,Gender,Male,math,pct,Maple Dale-Indian Hill,Maple Dale School,2018-19,100.0,0.0,23,
forward,Gender,Female,math,pct,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,2018-19,100.0,0.0,7,
forward,Gender,Male,math,pct,Greenfield,Edgewood Elementary,2018-19,100.0,0.0,4,
forward,Gender,Female,math,pct,Milwaukee,Academy of Accelerated Learning,2018-19,100.0,0.0,12,
forward,Disability Status,SwD,ela,pct,Whitefish Bay,Whitefish Bay Middle,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Academy of Accelerated Learning,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Alcott Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Audubon Technology and Communication Middle,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Barton Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,Bay View Montessori School,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Bay View Montessori School,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Bethune Academy,2018-19,100.0,0.0,2,
forward,Disability Status,SwoD,ela,pct,Whitefish Bay,Richards Elementary,2018-19,100.0,0.0,38,
forward,Disability Status,SwD,ela,pct,Whitefish Bay,Richards Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Bruce Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Burbank Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,Whitefish Bay,Whitefish Bay Middle,2018-19,100.0,0.0,115,
forward,Gender,Male,math,pct,Milwaukee,Burbank Elementary,2018-19,100.0,0.0,6,
forward,Gender,Female,math,pct,Greenfield,Edgewood Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,Greendale,Highland View Elementary,2018-19,100.0,0.0,23,
forward,Gender,Female,math,pct,Franklin Public,Forest Park Middle,2018-19,100.0,0.0,35,
forward,Gender,Male,math,pct,Franklin Public,Forest Park Middle,2018-19,100.0,0.0,46,
forward,Disability Status,SwoD,math,pct,Bruce Guadalupe,Bruce Guadalupe,2018-19,100.0,0.0,14,
forward,Gender,Female,math,pct,Franklin Public,Pleasant View Elementary,2018-19,100.0,0.0,29,
forward,Gender,Male,math,pct,Franklin Public,Pleasant View Elementary,2018-19,100.0,0.0,32,
forward,Gender,Female,math,pct,Franklin Public,Robinwood Elementary,2018-19,100.0,0.0,24,
forward,Gender,Male,math,pct,Franklin Public,Robinwood Elementary,2018-19,100.0,0.0,37,
forward,Disability Status,SwoD,math,pct,Brown Deer,Brown Deer Middle/High,2018-19,100.0,0.0,8,
forward,Gender,Female,math,pct,Franklin Public,Southwood Glen Elementary,2018-19,100.0,0.0,18,
forward,Gender,Male,math,pct,Franklin Public,Southwood Glen Elementary,2018-19,100.0,0.0,51,
forward,Gender,Female,math,pct,Glendale-River Hills,Glen Hills Middle,2018-19,100.0,0.0,19,
forward,Gender,Male,math,pct,Glendale-River Hills,Glen Hills Middle,2018-19,100.0,0.0,23,
forward,Disability Status,SwoD,ela,pct,Whitnall,Whitnall Middle,2018-19,100.0,0.0,49,
forward,Disability Status,SwoD,math,pct,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.0,32,
forward,Disability Status,SwoD,ela,pct,Woodlands School - State Street Campus,Woodlands School - State Street Campus,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Glendale-River Hills,Parkway Elementary,2018-19,100.0,0.0,3,
forward,Gender,Male,math,pct,Glendale-River Hills,Parkway Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,math,pct,Greendale,Canterbury Elementary,2018-19,100.0,0.0,29,
forward,Gender,Male,math,pct,Greendale,Canterbury Elementary,2018-19,100.0,0.0,34,
forward,Gender,Female,math,pct,Greendale,College Park Elementary,2018-19,100.0,0.0,23,
forward,Disability Status,SwoD,ela,pct,Woodlands School,Woodlands School,2018-19,100.0,0.0,6,
forward,Disability Status,SwD,ela,pct,Woodlands School,Woodlands School,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Greendale,College Park Elementary,2018-19,100.0,0.0,25,
forward,Gender,Female,math,pct,Greendale,Greendale Middle,2018-19,100.0,0.0,23,
forward,Gender,Male,math,pct,Greendale,Greendale Middle,2018-19,100.0,0.0,29,
forward,Gender,Female,math,pct,Greendale,Highland View Elementary,2018-19,100.0,0.0,14,
forward,Disability Status,SwD,math,pct,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Burdick Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Burdick Elementary,2018-19,100.0,0.0,18,
forward,Gender,Male,math,pct,Milwaukee,Carmen Middle School South,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2018-19,100.0,0.0,11,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Milwaukee,Hampton Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,math,pct,Milwaukee,Hartford Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Hartford Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Hawley Environmental School,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,44,
forward,Disability Status,SwD,ela,pct,West Allis-West Milwaukee,Lane Intermediate,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Hayes Bilingual School,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Highland Community School,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Milwaukee,Highland Community School,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Milwaukee,Honey Creek Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Honey Creek Elementary,2018-19,100.0,0.0,8,
forward,Gender,Female,math,pct,Milwaukee,Humboldt Park Elementary,2018-19,100.0,0.0,6,
forward,Gender,Male,math,pct,Milwaukee,Humboldt Park Elementary,2018-19,100.0,0.0,8,
forward,Gender,Female,math,pct,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Irving Elementary,2018-19,100.0,0.0,11,
forward,Gender,Female,math,pct,Milwaukee,Kagel Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Kagel Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,La Causa Charter School,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Milwaukee,Lincoln Avenue Elementary,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Horace Mann Elementary,2018-19,100.0,0.0,7,
forward,Gender,Male,math,pct,Milwaukee,Lincoln Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Longfellow Elementary,2018-19,100.0,0.0,3,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Jefferson Elementary,2018-19,100.0,0.0,12,
forward,Gender,Male,math,pct,Milwaukee,Greenfield Bilingual,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Mitchell Elementary,2018-19,100.0,0.0,10,
forward,Gender,Male,math,pct,Milwaukee,Grant Elementary,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,49,
forward,Disability Status,SwD,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Carver Academy,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Milwaukee,Cass Street Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Clemens Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Clement Avenue Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Milwaukee,Clement Avenue Elementary,2018-19,100.0,0.0,5,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Wilson Elementary,2018-19,100.0,0.0,9,
forward,Gender,Male,math,pct,Milwaukee,Congress Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Cooper Elementary,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Milwaukee,Cooper Elementary,2018-19,100.0,0.0,11,
forward,Gender,Female,math,pct,Milwaukee,Curtin Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Milwaukee,Engleburg Elementary,2018-19,100.0,0.0,1,
