metric,subject,unit,district,school,group,year,value,pct_below,pct_notest,yoy_change,pct_change,status_flag,gap_reason,tested,population
forward,ela,pct,Brown Deer,Brown Deer Elementary,All Students,2018-19,6.1125,0.0,2.2005,,,,,400.0,409.0
forward,math,pct,Wauwatosa,Wilson Elementary,All Students,2018-19,17.2414,0.0,0.0,,,,,58.0,58.0
forward,math,pct,Wauwatosa,Whitman Middle,All Students,2018-19,11.9469,0.0,0.1475,,,,,677.0,678.0
forward,math,pct,Wauwatosa,Wauwatosa Virtual Academy,[Data Suppressed],2018-19,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
forward,math,pct,Wauwatosa,Wauwatosa Virtual Academy,All Students,2018-19,0.0,0.0,0.0,,,,,6.0,6.0
forward,math,pct,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,All Students,2018-19,4.9354,0.0,0.47,,,,,847.0,851.0
forward,math,pct,West Allis-West Milwaukee,Irving Elementary,All Students,2018-19,5.0,0.0,0.5556,,,,,179.0,180.0
forward,math,pct,West Allis-West Milwaukee,Horace Mann Elementary,All Students,2018-19,5.0,0.0,0.0,,,,,180.0,180.0
forward,math,pct,West Allis-West Milwaukee,Hoover Elementary,All Students,2018-19,15.0943,0.0,1.2579,,,,,157.0,159.0
forward,math,pct,West Allis-West Milwaukee,Franklin Elementary,All Students,2018-19,4.6358,0.0,0.6623,,,,,150.0,151.0
forward,math,pct,Wauwatosa,Wauwatosa STEM,All Students,2018-19,42.6471,0.0,0.0,,,,,68.0,68.0
forward,math,pct,Wauwatosa,Roosevelt Elementary,All Students,2018-19,25.2941,0.0,0.5882,,,,,169.0,170.0
forward,math,pct,Wauwatosa,McKinley Elementary,All Students,2018-19,30.6818,0.0,1.1364,,,,,174.0,176.0
forward,math,pct,Wauwatosa,Madison Elementary,All Students,2018-19,12.3188,0.0,0.7246,,,,,137.0,138.0
forward,math,pct,Wauwatosa,Longfellow Middle,All Students,2018-19,14.0026,0.0,1.321,,,,,747.0,757.0
forward,math,pct,Wauwatosa,Lincoln Elementary,All Students,2018-19,26.8293,0.0,0.0,,,,,123.0,123.0
forward,math,pct,Wauwatosa,Underwood Elementary,All Students,2018-19,11.1732,0.0,2.7933,,,,,174.0,179.0
forward,math,pct,Wauwatosa,Wauwatosa Montessori School,All Students,2018-19,18.0952,0.0,0.0,,,,,105.0,105.0
forward,math,pct,Wauwatosa,Washington Elementary,All Students,2018-19,22.3776,0.0,0.0,,,,,143.0,143.0
forward,math,pct,Wauwatosa,Vel R Phillips School,[Data Suppressed],2018-19,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
forward,math,pct,West Allis-West Milwaukee,Jefferson Elementary,All Students,2018-19,3.1674,0.0,0.0,,,,,221.0,221.0
forward,math,pct,Whitnall,Whitnall Middle,All Students,2018-19,4.7187,0.0,1.0889,,,,,545.0,551.0
forward,math,pct,Whitnall,Hales Corners Elementary,All Students,2018-19,12.7341,0.0,0.3745,,,,,266.0,267.0
forward,math,pct,Whitnall,Edgerton Elementary,All Students,2018-19,22.0183,0.0,0.0,,,,,218.0,218.0
forward,math,pct,Whitefish Bay,Whitefish Bay Middle,All Students,2018-19,16.4297,0.0,0.9479,,,,,627.0,633.0
forward,math,pct,Woodlands School,Woodlands School,All Students,2018-19,7.9812,0.0,3.2864,,,,,206.0,213.0
forward,science,pct,Brown Deer,Brown Deer Middle/High,All Students,2018-19,12.5,0.0,0.0,,,,,96.0,96.0
forward,science,pct,Brown Deer,Brown Deer Elementary,All Students,2018-19,8.0,0.0,3.0,,,,,97.0,100.0
forward,math,pct,Woodlands School - State Street Campus,Woodlands School - State Street Campus,All Students,2018-19,0.6024,0.0,0.0,,,,,166.0,166.0
forward,math,pct,Whitefish Bay,Richards Elementary,All Students,2018-19,14.5594,0.0,0.7663,,,,,259.0,261.0
forward,math,pct,West Allis-West Milwaukee,Mitchell Elementary,All Students,2018-19,9.3023,0.0,1.1628,,,,,170.0,172.0
forward,math,pct,West Allis-West Milwaukee,Madison Elementary,All Students,2018-19,8.5106,0.0,2.1277,,,,,92.0,94.0
forward,math,pct,West Allis-West Milwaukee,Longfellow Elementary,All Students,2018-19,9.9099,0.0,0.9009,,,,,110.0,111.0
forward,math,pct,West Allis-West Milwaukee,Lane Intermediate,All Students,2018-19,5.7026,0.0,1.0183,,,,,486.0,491.0
forward,math,pct,West Allis-West Milwaukee,Pershing Elementary,All Students,2018-19,4.4643,0.0,0.0,,,,,112.0,112.0
forward,math,pct,West Allis-West Milwaukee,Walker Elementary,All Students,2018-19,15.8621,0.0,0.0,,,,,145.0,145.0
forward,math,pct,Whitefish Bay,Cumberland Elementary,All Students,2018-19,15.942,0.0,0.5797,,,,,343.0,345.0
forward,math,pct,West Allis-West Milwaukee,Wilson Elementary,All Students,2018-19,16.3842,0.0,0.0,,,,,177.0,177.0
forward,math,pct,West Allis-West Milwaukee,West Milwaukee Intermediate,All Students,2018-19,3.2353,0.0,0.8824,,,,,337.0,340.0
forward,math,pct,Oak Creek-Franklin Joint,Carollton Elementary,All Students,2018-19,27.1429,0.0,0.0,,,,,210.0,210.0
forward,math,pct,Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,All Students,2018-19,2.7027,0.0,1.0811,,,,,366.0,370.0
forward,math,pct,Milwaukee Math and Science Academy,Milwaukee Math and Science Academy,All Students,2018-19,0.0,0.0,0.6289,,,,,158.0,159.0
forward,math,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,All Students,2018-19,0.8163,0.0,0.0,,,,,490.0,490.0
forward,math,pct,Milwaukee,Zablocki Elementary,All Students,2018-19,0.0,0.0,2.8571,,,,,136.0,140.0
forward,math,pct,Oak Creek-Franklin Joint,Meadowview Elementary,All Students,2018-19,17.4157,0.0,0.0,,,,,178.0,178.0
forward,math,pct,Oak Creek-Franklin Joint,Forest Ridge Elementary,All Students,2018-19,14.5455,0.0,0.0,,,,,220.0,220.0
forward,math,pct,Oak Creek-Franklin Joint,Edgewood Elementary,All Students,2018-19,11.33,0.0,0.4926,,,,,202.0,203.0
