metric,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,focus_n,reference_n,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
hs_completion,Disability Status,Milwaukee,Milwaukee School of Languages,2024-25,SwoD,97.0874,SwD,42.8571,2.27,103.0,21.0,SwoD,97.0874,SwD,42.8571,2.27
hs_completion,Disability Status,Milwaukee,Riverside High,2024-25,SwoD,86.9767,SwD,47.2222,1.84,215.0,36.0,SwoD,86.9767,SwD,47.2222,1.84
hs_completion,Disability Status,Milwaukee,Marshall High,2024-25,SwoD,69.7143,SwD,40.0,1.74,175.0,50.0,SwoD,69.7143,SwD,40.0,1.74
hs_completion,Disability Status,Milwaukee,Hamilton High,2024-25,SwoD,67.9365,SwD,39.5833,1.72,315.0,48.0,SwoD,67.9365,SwD,39.5833,1.72
hs_completion,Disability Status,Milwaukee,WHS Information Technology,2024-25,SwoD,74.5283,SwD,43.2432,1.72,106.0,37.0,SwoD,74.5283,SwD,43.2432,1.72
hs_completion,Disability Status,Milwaukee,Obama School of Career and Technical Education,2024-25,SwoD,50.8306,SwD,30.0,1.69,301.0,40.0,SwoD,50.8306,SwD,30.0,1.69
hs_completion,Disability Status,Milwaukee,Bay View High,2024-25,SwoD,71.25,SwD,47.3684,1.5,160.0,38.0,SwoD,71.25,SwD,47.3684,1.5
hs_completion,Disability Status,Milwaukee,James Madison Academic Campus,2024-25,SwoD,76.6467,SwD,52.7778,1.45,167.0,36.0,SwoD,76.6467,SwD,52.7778,1.45
hs_completion,Disability Status,Milwaukee,Bradley Technology High,2024-25,SwoD,83.5,SwD,60.7143,1.38,200.0,56.0,SwoD,83.5,SwD,60.7143,1.38
hs_completion,Disability Status,Milwaukee,King International,2024-25,SwoD,96.8872,SwD,70.3704,1.38,257.0,27.0,SwoD,96.8872,SwD,70.3704,1.38
hs_completion,Disability Status,West Allis-West Milwaukee,Central High,2024-25,SwoD,86.7925,SwD,62.963,1.38,212.0,27.0,SwoD,86.7925,SwD,62.963,1.38
hs_completion,Disability Status,Wauwatosa,West High,2024-25,SwoD,98.1982,SwD,71.4286,1.37,222.0,21.0,SwoD,98.1982,SwD,71.4286,1.37
hs_completion,Disability Status,Milwaukee,South Division High,2024-25,SwoD,64.0,SwD,47.8261,1.34,175.0,46.0,SwoD,64.0,SwD,47.8261,1.34
hs_completion,Disability Status,South Milwaukee,South Milwaukee High,2024-25,SwoD,90.6863,SwD,67.7419,1.34,204.0,31.0,SwoD,90.6863,SwD,67.7419,1.34
hs_completion,Disability Status,West Allis-West Milwaukee,Nathan Hale High,2024-25,SwoD,91.8216,SwD,68.75,1.34,269.0,32.0,SwoD,91.8216,SwD,68.75,1.34
hs_completion,Disability Status,Nicolet Union High School,Nicolet High,2024-25,SwoD,99.1667,SwD,76.0,1.3,240.0,25.0,SwoD,99.1667,SwD,76.0,1.3
hs_completion,Disability Status,Seeds of Health,Tenor High,2024-25,SwoD,84.2105,SwD,68.0,1.24,171.0,25.0,SwoD,84.2105,SwD,68.0,1.24
hs_completion,Disability Status,Cudahy,Cudahy High,2024-25,SwoD,94.0,SwD,79.1667,1.19,150.0,24.0,SwoD,94.0,SwD,79.1667,1.19
hs_completion,Disability Status,Whitnall,Whitnall High,2024-25,SwoD,98.8636,SwD,83.3333,1.19,176.0,24.0,SwoD,98.8636,SwD,83.3333,1.19
hs_completion,Disability Status,Franklin Public,Franklin High,2024-25,SwoD,99.7468,SwD,85.1852,1.17,395.0,27.0,SwoD,99.7468,SwD,85.1852,1.17
hs_completion,Disability Status,Milwaukee,Groppi High,2024-25,SwD,55.1724,SwoD,47.7477,1.16,29.0,111.0,SwD,55.1724,SwoD,47.7477,1.16
hs_completion,Disability Status,Wauwatosa,East High,2024-25,SwoD,97.4249,SwD,83.871,1.16,233.0,31.0,SwoD,97.4249,SwD,83.871,1.16
