metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,All Students,All Students,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,95.2,96.8,7-Year rate,119.0,125.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Transition High,2017-18,2018,45.1613,61.194,7-Year rate,56.0,124.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,South Division High,2017-18,2018,4.5455,21.2121,7-Year rate,1.0,22.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,South Division High,2017-18,2018,54.5455,63.0037,7-Year rate,156.0,286.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Shalom High,2017-18,2018,70.0,80.0,7-Year rate,7.0,10.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Shalom High,2017-18,2018,35.5932,47.3684,7-Year rate,21.0,59.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Riverside High,2017-18,2018,93.8776,93.8776,7-Year rate,92.0,98.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Riverside High,2017-18,2018,87.3362,92.6941,7-Year rate,200.0,229.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Reagan College Preparatory High,2017-18,2018,98.125,100.0,7-Year rate,157.0,160.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Reagan College Preparatory High,2017-18,2018,93.7931,96.4789,7-Year rate,136.0,145.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Pulaski High,2017-18,2018,46.8085,44.898,7-Year rate,22.0,47.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Pulaski High,2017-18,2018,50.7177,64.8241,7-Year rate,106.0,209.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2017-18,2018,17.6471,33.3333,7-Year rate,3.0,17.0,,
hs_completion,Economic Status,Econ Disadv,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2017-18,2018,22.7723,51.0204,7-Year rate,23.0,101.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Milwaukee,Obama School of Career and Technical Education,2017-18,2018,26.6667,61.1111,7-Year rate,4.0,15.0,,
