metric,unit,district,school,group,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,yoy_change,status_flag,gap_reason
hs_completion,pct,Brown Deer,Brown Deer Middle/High,All Students,2017-18,2018,95.2,96.8,7-Year rate,119.0,125.0,,,
hs_completion,pct,Nicolet Union High School,Nicolet High,All Students,2017-18,2018,96.0854,99.278,7-Year rate,270.0,281.0,,,
hs_completion,pct,Milwaukee,Groppi High,All Students,2017-18,2018,32.8571,37.6344,7-Year rate,23.0,70.0,,,
hs_completion,pct,Milwaukee,MacDowell Montessori School K3-12,All Students,2017-18,2018,75.6757,88.5714,7-Year rate,28.0,37.0,,,
hs_completion,pct,Shorewood,Shorewood High,All Students,2017-18,2018,96.1783,97.4522,7-Year rate,151.0,157.0,,,
hs_completion,pct,West Allis-West Milwaukee,Shared Journeys,All Students,2017-18,2018,88.8889,100.0,7-Year rate,8.0,9.0,,,
hs_completion,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,All Students,2017-18,2018,38.1579,50.7692,7-Year rate,29.0,76.0,,,
hs_completion,pct,West Allis-West Milwaukee,Central High,All Students,2017-18,2018,84.252,89.1129,7-Year rate,214.0,254.0,,,
hs_completion,pct,Milwaukee,South Division High,All Students,2017-18,2018,50.974,58.4967,7-Year rate,157.0,308.0,,,
hs_completion,pct,Milwaukee,Vincent Accelerated Academy,All Students,2017-18,2018,27.0833,55.8824,7-Year rate,13.0,48.0,,,
hs_completion,pct,Milwaukee,Grandview High,All Students,2017-18,2018,33.0645,51.2,7-Year rate,41.0,124.0,,,
hs_completion,pct,Milwaukee,Milwaukee Community Cyber High,All Students,2017-18,2018,86.6667,85.2632,6-Year rate,78.0,90.0,,,
hs_completion,pct,Milwaukee,North Division High,All Students,2017-18,2018,34.0741,44.2623,7-Year rate,46.0,135.0,,,
hs_completion,pct,Milwaukee,ASSATA High,All Students,2017-18,2018,22.5,48.6486,7-Year rate,9.0,40.0,,,
hs_completion,pct,Milwaukee,Lad Lake Synergy School,All Students,2017-18,2018,33.3333,51.6129,7-Year rate,10.0,30.0,,,
hs_completion,pct,Milwaukee,Harold S Vincent School of Agricultural Science,All Students,2017-18,2018,55.5556,62.9787,7-Year rate,130.0,234.0,,,
hs_completion,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,All Students,2017-18,2018,95.122,95.122,7-Year rate,39.0,41.0,,,
hs_completion,pct,Milwaukee,Obama School of Career and Technical Education,All Students,2017-18,2018,41.1765,55.4745,7-Year rate,56.0,136.0,,,
hs_completion,pct,West Allis-West Milwaukee,West Allis-West Milwaukee Learning Center,All Students,2017-18,2018,71.8121,,,107.0,149.0,,,
hs_completion,pct,Wauwatosa,West High,All Students,2017-18,2018,91.5751,94.4649,7-Year rate,250.0,273.0,,,
hs_completion,pct,Milwaukee,Marshall High,All Students,2017-18,2018,73.6402,79.8387,7-Year rate,176.0,239.0,,,
hs_completion,pct,Milwaukee,Transition High,All Students,2017-18,2018,44.2953,62.0879,7-Year rate,66.0,149.0,,,
hs_completion,pct,Wauwatosa,East High,All Students,2017-18,2018,94.5017,98.2935,7-Year rate,275.0,291.0,,,
