metric,group,year,value,yoy_change,pct_change
report_card,Cudahy — All Students,2018-19,68.9,,
report_card,Cudahy — All Students,2020-21,57.5,-11.400000000000006,-16.545718432510892
report_card,Cudahy — All Students,2021-22,57.2,-0.29999999999999716,-0.5217391304347729
report_card,Cudahy — All Students,2022-23,56.2,-1.0,-1.7482517482517501
report_card,Cudahy — All Students,2023-24,58.7,2.5,4.448398576512447
report_card,Cudahy — All Students,2024-25,59.9,1.1999999999999957,2.044293015332199
report_card,Fox Point J2 — All Students,2018-19,90.9,,
report_card,Fox Point J2 — All Students,2020-21,84.1,-6.800000000000011,-7.480748074807497
report_card,Fox Point J2 — All Students,2021-22,91.7,7.6000000000000085,9.036860879904896
report_card,Fox Point J2 — All Students,2022-23,94.0,2.299999999999997,2.5081788440566966
report_card,Fox Point J2 — All Students,2023-24,93.8,-0.20000000000000284,-0.21276595744681437
report_card,Fox Point J2 — All Students,2024-25,96.8,3.0,3.1982942430703654
report_card,Franklin Public — All Students,2018-19,79.5,,
report_card,Franklin Public — All Students,2020-21,78.2,-1.2999999999999972,-1.6352201257861632
report_card,Franklin Public — All Students,2021-22,77.8,-0.4000000000000057,-0.5115089514066584
report_card,Franklin Public — All Students,2022-23,76.0,-1.7999999999999972,-2.3136246786632397
report_card,Franklin Public — All Students,2023-24,75.0,-1.0,-1.3157894736842146
report_card,Franklin Public — All Students,2024-25,78.1,3.0999999999999943,4.133333333333322
report_card,Glendale-River Hills — All Students,2018-19,72.5,,
report_card,Glendale-River Hills — All Students,2020-21,69.2,-3.299999999999997,-4.551724137931035
report_card,Glendale-River Hills — All Students,2021-22,68.4,-0.7999999999999972,-1.1560693641618491
report_card,Glendale-River Hills — All Students,2022-23,67.3,-1.1000000000000085,-1.6081871345029364
report_card,Glendale-River Hills — All Students,2023-24,68.8,1.5,2.2288261515601704
report_card,Glendale-River Hills — All Students,2024-25,70.8,2.0,2.9069767441860517
report_card,Greendale — All Students,2018-19,82.0,,
report_card,Greendale — All Students,2020-21,73.6,-8.400000000000006,-10.2439024390244
report_card,Greendale — All Students,2021-22,75.2,1.6000000000000085,2.1739130434782705
report_card,Greendale — All Students,2022-23,75.8,0.5999999999999943,0.7978723404255206
report_card,Greendale — All Students,2023-24,76.0,0.20000000000000284,0.26385224274407815
