district,school,city,is_city
Brown Deer,Brown Deer Elementary,Brown Deer,False
Brown Deer,Brown Deer Middle/High,Brown Deer,False
Bruce Guadalupe,Bruce Guadalupe,Milwaukee,True
Capitol West Academy,Capitol West Academy,Milwaukee (inferred),True
Carmen High School of Science and Technology,Carmen Middle School South,Milwaukee (inferred),True
Carmen High School of Science and Technology,Stellar Collegiate Charter School,Milwaukee (inferred),True
Carmen Middle School South,Carmen Middle School South,Milwaukee,True
Central City Cyberschool of Milwaukee,Central City Cyberschool,Milwaukee,True
Cudahy,Cudahy High,Cudahy,False
Cudahy,Cudahy Middle,Cudahy,False
Cudahy,Jones Elementary,Cudahy,False
Cudahy,Kosciuszko Elementary,Cudahy,False
Cudahy,Lincoln Elementary,Cudahy,False
Cudahy,Mitchell Elementary,Cudahy,False
Cudahy,Park View Elementary,Cudahy,False
Darrell L. Hines Academy,Darrell Lynn Hines Academy,Milwaukee,True
Downtown Montessori Academy,Downtown Montessori,Milwaukee,True
Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,Milwaukee,True
Escuela Verde,Escuela Verde,Milwaukee,True
Fox Point J2,Bayside Middle,Milwaukee,True
Fox Point J2,Stormonth Elementary,Milwaukee,True
Franklin Public,Ben Franklin Elementary,Franklin,False
Franklin Public,Country Dale Elementary,Franklin,False
Franklin Public,Forest Park Middle,Franklin,False
Franklin Public,Franklin High,Franklin,False
Franklin Public,Milwaukee County Community Reintegration Center,Franklin,False
Franklin Public,Milwaukee County Correctional Facility South,Franklin,False
Franklin Public,Pleasant View Elementary,Franklin,False
Franklin Public,Robinwood Elementary,Franklin,False
Franklin Public,Southwood Glen Elementary,Franklin,False
Glendale-River Hills,Glen Hills Middle,Glendale,False
Glendale-River Hills,Parkway Elementary,Glendale,False
Greendale,Canterbury Elementary,Greendale,False
Greendale,College Park Elementary,Greendale,False
Greendale,Greendale High,Greendale,False
Greendale,Greendale Middle,Greendale,False
